Index,English,Russian
4118,relevance score,показатель релевантности
4119,rendering network,сеть рендеринга
4120,renormalization,Ренормализация
4121,reparameterization,репараметризация
4122,reparameterization trick,трюк репараметризации
4123,repertoire lattice of Kelly,решетка Келли репертуарная
4124,replay buffer,буфер повторного воспроизведения
4125,replay memory,Память повторов
4126,representation learning,обучение представлениям
4127,representation matrix,матрица представлений
4128,representation space,пространство представлений
4129,representation vector,вектор представления
4130,representer theorem,теорема репрезентера
4131,reproducing kernel Hilbert space,воспроизводящее ядровое гильбертово пространство
4132,reproducing property,Воспроизводящее свойство
4133,reprojection,репроекция
4134,reprojection error,ошибка репроекции
4135,reranker,реранкер
4136,reranking model,модель повторного ранжирования
4137,reranking parser,переранжирующий парсер
4138,reservoir sampling,выборка с использованием резервуара
4139,residual block,остаточный блок
4140,residual branch,резидуальная ветвь
4141,residual connection,остаточная связь
4142,residual error,остаточная ошибка
4143,residual function,остаточная функция
4144,residual graph,остаточный граф
4145,residual learning,остаточное обучение
4146,residual network,остаточная сеть
4147,resolution,резолюция
4148,resolution principle,принцип резолюции
4149,resolvent,резольвента
4150,restricted isometry property,свойство ограниченной изометрии
4151,retrieval,поиск
4152,retrieval function,функция поиска
4153,retrieval method,метод извлечения
4154,retrieval model,модель поиска
4155,retrieval system,поисковая система
4156,reverse-mode,обратный режим
4157,reward,вознаграждение
4158,reward function,Функция вознаграждения
4159,reward model,модель вознаграждения
4160,reward shaping,формирование вознаграждения
4161,reward signal,сигнал вознаграждения
4162,reward-maximizing policy,политика максимизации вознаграждения
4163,ridge regression,Регрессия с регуляризацией по Тихонову
4164,ridge regularization,регуляризация гребня
4165,right-to-left model,Модель справа налево
4166,rigid body transformation,трансформация твердого тела
4167,rigid transformation,трансформация твердого тела
4168,risk minimization,минимизация риска
4169,roberta-large,roberta-large
4170,robotic,робототехнический
4171,robust optimization,робастная оптимизация
4172,robust risk,робастный риск
4173,robustness,Робустность
4174,role assertion,утверждение роли
4175,role atom,атом роли
4176,role classification,классификация ролей
4177,role name,имя роли
4178,roll-out policy,политика развертывания
4179,rollout,развёртывание
4180,rollout length,длина выката
4181,root mean square error,среднеквадратическая ошибка
4182,root node,корневой узел
4183,rotation angle,угол поворота
4184,rotation invariance,инвариантность к повороту
4185,rotation matrix,матрица вращения
4186,row vector,вектор-строка
4187,rule,правило
4188,rule body,тело правила
4189,rule-based system,"система, основанная на правилах"
4190,runtime complexity,сложность времени выполнения
4191,saddle-point problem,задача седловой точки
4192,saliency,заметность
4193,saliency map,карта значимости
4194,sample complexity,сложность выборки
4195,sample complexity bound,граница сложности выборки
4196,sample covariance matrix,выборочная ковариационная матрица
4197,sample efficiency,эффективность выборки
4198,sample selection,отбор выборки
4199,sample space,пространство элементарных исходов
4200,sample variance,выборочная дисперсия
4201,sample-efficient,эффективный по числу образцов
4202,sampler,сэмплер
4203,sampling algorithm,алгоритм выборки
4204,sampling-based inference,инференция на основе выборки
4205,satisfiability,выполнимость
4206,satisfiability problem,проблема удовлетворимости
4207,scalability,масштабируемость
4208,scalar,скаляр
4209,scalar product,скалярное произведение
4210,scalarization,скаляризация
4211,scale invariance,инвариантность к масштабу
4212,scale parameter,масштабный параметр
4213,scaled dot-product,масштабированное скалярное произведение
4214,scaled dot-product attention,внимание масштабированного скалярного произведения
4215,scaling factor,коэффициент масштабирования
4216,scanning window detector,детектор сканирующего окна
4217,scenary analysis,анализ сцен
4218,scene category,категория сцены
4219,scene classification,классификация сцен
4220,scene classifier,классификатор сцен
4221,scene flow,поток сцены
4222,scene flow estimation,Оценка потока сцены
4223,scene geometry,Геометрия сцены
4224,scene graph,Граф сцены
4225,scene parsing,разбор сцены
4226,scene recognition,распознавание сцен
4227,scene reconstruction,реконструкция сцены
4228,scene representation,представление сцены
4229,scene understanding,понимание сцены
4230,scheduled sampling,Запланированное выборочное обучение
4231,scheduler,Планировщик
4232,schema item,Элемент схемы
4233,score function,Функция оценки
4234,score matching,сопоставление оценок
4235,score vector,вектор оценок
4236,score-based model,модель на основе оценок
4237,scoring function,функция оценки
4238,script,сценарий
4239,search algorithm,алгоритм поиска
4240,search in problem space,поиск в пространстве задач
4241,search in state space,поиск в пространстве состояний
4242,search problem,задача поиска
4243,search procedure,процедура поиска
4244,search space,пространство поиска
4245,search tree,дерево поиска
4246,second order,второго порядка
4247,second order logic,логика второго порядка
4248,second order statistic,статистика второго порядка
4249,second-order optimization,оптимизация второго порядка
4250,second-order potential,Потенциал второго порядка
4251,segmentation,сегментация
4252,segmentation algorithm,Алгоритм сегментации
4253,segmentation map,Карта сегментации
4254,segmentation mask,Маска сегментации
4255,selection bias,предвзятость отбора
4256,selectional preference,предпочтение при отборе
4257,self-attention,Самовнимание
4258,self-attention head,голова самовнимания
4259,self-attention layer,слой самовнимания
4260,self-attention matrix,матрица самовнимания
4261,self-attention mechanism,механизм самовнимания
4262,self-attention model,модель самовнимания
4263,self-attention module,модуль самовнимания
4264,self-learning,самообучение
4265,self-loop,самопетля
4266,self-play,самоигра
4267,self-supervised method,самоконтролируемый метод
4268,self-supervised model,самообучающаяся модель
4269,self-supervised representation learning,самообучение представлений
4270,self-supervised signal,самообучающий сигнал
4271,self-supervised training,обучение под самоконтролем
4272,self-supervision,самообучение
4273,self-training,самообучение
4274,semantic alignment,семантическое выравнивание
4275,semantic analysis,семантический анализ
4276,semantic annotation,семантическая аннотация
4277,semantic category,семантическая категория
4278,semantic class,семантический класс
4279,semantic constraint,семантическое ограничение
4280,semantic distance,расстояние семантическое
4281,semantic encoder,семантический энкодер
4282,semantic equivalence,семантическая эквивалентность
4283,semantic feature,семантическая характеристика
4284,semantic graph,семантический граф
4285,semantic information,семантическая информация
4286,semantic interpretation,семантическая интерпретация
4287,semantic label,семантическая метка
4288,semantic memory,семантическая память
4289,semantic model,семантическая модель
4290,semantic network,сеть семантическая
4291,semantic object,семантический объект
4292,semantic operator,семантический оператор
4293,semantic parse,семантический разбор
4294,semantic parser,семантический парсер
4295,semantic priming,семантическое праймирование
4296,semantic relation,отношение семантическое
4297,semantic representation,семантическое представление
4298,semantic role,Семантическая роль
4299,semantic role label,метка семантической роли
4300,semantic search,семантический поиск
4301,semantic segmentation,Семантическая сегментация
4302,semantic similarity,семантическое сходство
4303,semantic similarity measure,мера семантического сходства
4304,semantic space,пространство семантическое
4305,semantic structure,семантическая структура
4306,semantic symbol,семантический символ
4307,semantic textual similarity,семантическое текстовое сходство
4308,semantic unit,семантическая единица
4309,semantic vector,семантический вектор
4310,semantic vector space,Семантическое векторное пространство
4311,semi-Markov,полу-Марковский
4312,semi-definite programming,полуопределённое программирование
4313,semi-supervised clustering,полуконтролируемая кластеризация
4314,semi-supervised learning,полуконтролируемое обучение
4315,semi-supervision,полу supervised обучение
4316,semidefinite program,полуопределённая программа
4317,semiotics,семиотика
4318,sense disambiguation,разрешение многозначности
4319,sensitive attribute,чувствительный атрибут
4320,sensitivity analysis,анализ чувствительности
4321,sentence classification,классификация предложений
4322,sentence compression,сжатие предложений
4323,sentence embedding,векторное представление предложений
4324,sentence encoder,энкодер предложений
4325,sentence representation,представление предложений
4326,sentence segmentation,сегментация предложений
4327,sentence vector,вектор предложения
4328,sentence-level,на уровне предложений
4329,sentence-level classification,классификация на уровне предложения
4330,sentence-level representation,представление на уровне предложений
4331,sentiment,Настроение
4332,sentiment analysis,Анализ настроений
4333,sentiment analysis model,модель анализа тональности
4334,sentiment classification,классификация тональности
4335,sentiment classifier,классификатор тональности
4336,sentiment detection,определение тональности
4337,sentiment transfer,перенос сентимента
4338,separation oracle,Оракул разделения
4339,separation parameter,параметр разделения
4340,separator token,токен-разделитель
4341,seq2seq model,модель seq2seq
4342,sequence alignment,выравнивание последовательностей
4343,sequence classification,классификация последовательностей
4344,sequence database,база данных последовательностей
4345,sequence generation,генерация последовательностей
4346,sequence labeling,разметка последовательностей
4347,sequence labeling model,модель разметки последовательностей
4348,sequence length,длина последовательности
4349,sequence model,модель последовательностей
4350,sequence prediction,прогнозирование последовательностей
4351,sequence tagging,тегирование последовательностей
4352,sequence transduction,трансдукция последовательностей
4353,sequence-to-sequence,последовательность-в-последовательность
4354,sequence-to-sequence architecture,архитектура последовательность-в-последовательность
4355,sequence-to-sequence generation,генерация последовательность-в-последовательность
4356,sequence-to-sequence model,модель последовательность-в-последовательность
4357,sequence-to-sequence transduction,трансдукция из последовательности в последовательность
4358,sequent,секвенция
4359,sequential automaton,автомат секвенциальный
4360,sequential datum,последовательные данные
4361,sequential decision making,последовательное принятие решений
4362,sequential decision-making process,процесс последовательного принятия решений
4363,sequential sampler,последовательный сэмплер
4364,sequential tagging,последовательная разметка
4365,set cover problem,задача покрытия множества
4366,set function,функция на множестве
4367,shallow network,неглубокая сеть
4368,shape matching,сопоставление форм
4369,shape prior,априорное распределение формы
4370,shell,оболочка
4371,shift invariant,инвариантный к сдвигу
4372,shift reduce parser,Парсер сдвига и редукции
4373,shortest path,кратчайший путь
4374,shortest path algorithm,алгоритм поиска кратчайшего пути
4375,shortest path kernel,ядро кратчайшего пути
4376,shortest path length,длина кратчайшего пути
4377,sibling model,модель сиблингов
4378,sigmoid,сигмоида
4379,sigmoid activation,сигмоидная активация
4380,sigmoid activation function,сигмоидная функция активации
4381,sigmoid function,Сигмоидная функция
4382,signal processing,обработка сигналов
4383,signal-to-noise ratio,Отношение сигнал/шум
4384,sim,сходство
4385,simbolic processor,процессор символьный
4386,similarity,сходство
4387,similarity function,функция сходства
4388,similarity graph,граф сходства
4389,similarity matrix,матрица сходства
4390,similarity measure,Мера сходства
4391,similarity metric,метрика сходства
4392,similarity score,Оценка сходства
4393,similarity search,поиск по сходству
4394,simplicial complex,Симплициальный комплекс
4395,simulated annealing,имитационное отжигание
4396,single task learning,обучение на одной задаче
4397,single-label classification,одноярлыковая классификация
4398,single-view data,данные с одним представлением
4399,singleton,синглтон
4400,singular value,сингулярное значение
4401,singular value decomposition,Разложение по сингулярным значениям
4402,singular vector,сингулярный вектор
4403,situational calculus,исчисление ситуационное
4404,situational control,управление ситуационное
4405,situational model,модель ситуаций
4406,situational semantics,семантика ситуативная
4407,skip connection,соединение с пропуском
4408,skip-gram,скип-грам
4409,skip-gram model,модель skip-gram
4410,slack variable,вспомогательная переменная
4411,sliding window,скользящее окно
4412,sliding window classifier,классификатор со скользящим окном
4413,slot,слот
4414,slot filling,заполнение слотов
4415,slot value,значение слота
4416,slot-value pair,пара слот-значение
4417,smoothing parameter,параметр сглаживания
4418,smoothness term,терм сглаживания
4419,social bias,социальная предвзятость
4420,social network analysis,анализ социальных сетей
4421,soft margin,Мягкая маржа
4422,softmax,софтмакс
4423,softmax activation,активация softmax
4424,softmax activation function,Функция активации softmax
4425,softmax classifier,классификатор softmax
4426,softmax distribution,Распределение softmax
4427,softmax function,Функция softmax
4428,softmax loss,Функция потерь softmax
4429,softplus,софтплюс
4430,softplus activation,активация softplus
4431,softplus function,функция softplus
4432,solution space,пространство решений
4433,solver,решатель
4434,source,источник
4435,source domain,исходный домен
4436,source model,исходная модель
4437,source node,исходный узел
4438,source sequence,последовательность источника
4439,source token,токен источника
4440,source word,исходное слово
4441,space carving,вырезание пространства
4442,space complexity,сложность по памяти
4443,space partitioning,разбиение пространства
4444,spam detection,обнаружение спама
4445,spam filtering,фильтрация спама
4446,span,Пространство
4447,sparse,Разреженный
4448,sparse approximation,разреженное приближение
4449,sparse attention,разреженное внимание
4450,sparse attention pattern,паттерн разреженного внимания
4451,sparse graph,разрежённый граф
4452,sparse matrix,разрежённая матрица
4453,sparse model,разрежённая модель
4454,sparse recovery,разрежённое восстановление
4455,sparse representation,разрежённое представление
4456,sparse sampling,разреженная выборка
4457,sparse vector,разреженный вектор
4458,sparsification,разреживание
4459,sparsity,разреженность
4460,sparsity level,уровень разреженности
4461,sparsity regularization,регуляризация разреженности
4462,spatial domain,пространственная область
4463,spatial gradient,пространственный градиент
4464,spatial logic,логика пространственная
4465,spatial pooling,spatial pooling Пространственное объединение
4466,spatial pyramid,пространственная пирамида
4467,spatial relation,отношение пространственное
4468,special token,специальный токен
4469,spectral algorithm,спектральный алгоритм
4470,spectral clustering,спектральная кластеризация
4471,spectral decomposition,спектральное разложение
4472,spectral embedding,спектральное вложение
4473,spectral gap,спектральный разрыв
4474,spectral learning,Спектральное обучение
4475,spectral matching,спектральное сопоставление
4476,spectral method,Спектральный метод
4477,spectral norm,спектральная норма
4478,spectral property,спектральное свойство
4479,spectrogram,Спектрограмма
4480,speech,речь
4481,speech act,акт речевой
4482,speech act theory,теория речевых актов
4483,speech recognition,распознавание речи
4484,speech recognizer,распознаватель речи
4485,speech synthesis model,Модель синтеза речи
4486,speech synthesizer,Синтезатор речи
4487,spoken dialogue system,голосовая диалоговая система
4488,spurious correlation,ложная корреляция
4489,squared Euclidean distance,квадратное евклидово расстояние
4490,squared error loss,квадратичная ошибка потери
4491,stable model,стабильная модель
4492,stable model semantic,семантика стабильной модели
4493,stance detection,определение позиции
4494,standard normal distribution,стандартное нормальное распределение
4495,start token,токен начала
4496,state,состояние
4497,state action pair,пара состояние-действие
4498,state distribution,распределение состояний
4499,state estimation,оценка состояния
4500,state machine,автомат состояний
4501,state matrix,Матрица состояний
4502,state of the art algorithm,передовой алгоритм
4503,state representation,представление состояния
4504,state sequence,Последовательность состояний
4505,state space,пространство состояний
4506,state trajectory,траектория состояния
4507,state transition,Переход состояния
4508,state transition function,функция перехода состояний
4509,state transition matrix,матрица перехода состояний
4510,state transition model,модель переходов состояний
4511,state transition probability,вероятность перехода состояний
4512,state value function,функция ценности состояния
4513,state variable,переменная состояния
4514,state vector,вектор состояния
4515,state-action distribution,распределение состояния-действия
4516,state-action space,пространство состояния-действия
4517,state-action value,ценность состояния-действия
4518,state-action value function,функция ценности состояния-действия
4519,state-of-the-art baseline,передовой эталон
4520,state-of-the-art method,передовой метод
4521,state-of-the-art model,модель передового уровня
4522,state-of-the-art system,система передового уровня
4523,static analysis,Статический анализ
4524,stationarity,стационарность
4525,stationary distribution,стационарное распределение
4526,stationary kernel,стационарное ядро
4527,stationary policy,стационарная политика
4528,statistical analysis,статистический анализ
4529,statistical independence,статистическая независимость
4530,statistical learning,статистическое обучение
4531,statistical learning algorithm,алгоритм статистического обучения
4532,statistical learning theory,теория статистического обучения
4533,statistical machine translation system,статистическая система машинного перевода
4534,statistical measure,статистическая мера
4535,statistical model,статистическая модель
4536,statistical translation model,статистическая модель перевода
4537,steepest descent,наискорейший спуск
4538,steerable filter,направляемый фильтр
4539,stemmer,стеммер
4540,stereo algorithm,стереоалгоритм
4541,stereo benchmark,стерео-бенчмарк
4542,stereo disparity,стереодиспаритет
4543,stereo image,стереоизображение
4544,stereo matching,стереосопоставление
4545,stereo pair,стереопара
4546,stereo reconstruction,стереореконструкция
4547,stereo vision,стереозрение
4548,stochastic algorithm,Стохастический алгоритм
4549,stochastic approximation,стохастическая аппроксимация
4550,stochastic automaton,автомат стохастический
4551,stochastic depth,стохастическая глубина
4552,stochastic differential equation,Стохастическое дифференциальное уравнение
4553,stochastic dynamic,стохастическая динамика
4554,stochastic environment,стохастическая среда
4555,stochastic game,стохастическая игра
4556,stochastic gradient,стохастический градиент
4557,stochastic gradient algorithm,стохастический градиентный алгоритм
4558,stochastic gradient ascent,стохастический градиентный подъём
4559,stochastic gradient descent,Стохастический градиентный спуск
4560,stochastic gradient method,метод стохастического градиента
4561,stochastic grammar,стохастическая грамматика
4562,stochastic matrix,стохастическая матрица
4563,stochastic model,стохастическая модель
4564,stochastic objective,стохастическая целевая функция
4565,stochastic optimization,стохастическая оптимизация
4566,stochastic policy,стохастическая политика
4567,stochastic process,стохастический процесс
4568,stochastic sampling,стохастическая выборка
4569,stochastic search algorithm,стохастический поисковый алгоритм
4570,stochastic subgradient descent,стохастический субградиентный спуск
4571,stochastic transition matrix,Стохастическая матрица переходов
4572,stochastic variational inference,стохастическая вариационная инференция
4573,stochasticity,стохастичность
4574,stop word,stop word - стоп-слово
4575,stop-gradient,остановка градиента
4576,stop-gradient operation,стоп-градиентная операция
4577,stopping condition,условие остановки
4578,stopping criterion,критерий остановки
4579,strategic planning,планирование стратегическое
4580,stratified sampling,стратифицированная выборка
4581,streaming algorithm,потоковый алгоритм
4582,streaming datum,потоковые данные
4583,streaming model,потоковая модель
4584,stride,Шаг
4585,string kernel metric,метрика строкового ядра
4586,structural learning,структурное обучение
4587,structural risk minimization,минимизация структурного риска
4588,structure,структура
4589,structure learning,structure learning - структурное обучение
4590,structured datum,структурированные данные
4591,structured output,структурированный вывод
4592,structured perceptron,структурированный персептрон
4593,structured prediction,структурированное предсказание
4594,structured prediction model,модель структурированного предсказания
4595,structured prediction problem,задача структурированного предсказания
4596,structured support vector machine,структурированная опорная векторная машина
4597,student model,модель студента
4598,style transfer,Перенос стиля
4599,sub-gradient,субградиент
4600,sub-gradient descent,субградиентный спуск
4601,sub-networks,подсети
4602,sub-population,субпопуляция
4603,sub-word,подслово
4604,sub-word tokenization,токенизация подслов
4605,subgame,подигра
4606,subgradient method,метод субградиента
4607,subgraph isomorphism,изоморфизм подграфов
4608,subgraph selection,выбор подграфа
4609,subject area,область предметная
4610,submatrice,подматрица
4611,submatrix,подматрица
4612,submodular,субмодульный
4613,submodular function,субмодульная функция
4614,submodular function optimization,оптимизация субмодульных функций
4615,submodular influence function,субмодулярная функция влияния
4616,submodular optimization,субмодулярная оптимизация
4617,submodular polyhedron,субмодулярный многогранник
4618,submodular set function,субмодулярная функция множества
4619,subnetwork,Подсеть
4620,suboptimal,неоптимальный
4621,subpixel,субпиксельный
4622,subsample,подвыборка
4623,subsampling factor,коэффициент подсэмплирования
4624,subspace learning,Обучение в подпространстве
4625,subspace method,метод подпространств
4626,subspace projection,проекция на подпространство
4627,substitution,подстановка
4628,subsumption,субсумпция
4629,subsumption relation,отношение субсумпции
4630,subtree,Поддерево
4631,subwindow,подокно
4632,subword,подсловие
4633,subword token,токен подслова
4634,subword unit,единица подслова
4635,successor function,функция преемника
4636,successor state,состояние-преемник
4637,successor state axiom,аксиома состояния преемника
4638,sufficient statistic,sufficient statistic - достаточная статистика
4639,suffix tree,суффиксное дерево
4640,summarization,резюмирование
4641,summarization algorithm,алгоритм суммаризации
4642,summarization model,модель резюмирования
4643,summarization system,система резюмирования
4644,super-pixel,суперпиксель
4645,super-resolution,сверхразрешение
4646,supergradient,суперградиент
4647,supertag,супертег
4648,supervised classification,супервизированная классификация
4649,supervised classification model,модель супервизированной классификации
4650,supervised classifier,контролируемый классификатор
4651,supervised contrastive learning,контролируемое контрастивное обучение
4652,supervised datum,обучающие данные с учителем
4653,supervised finetuning,супервизированная донастройка
4654,supervised learning,контролируемое обучение
4655,supervised manner,супервизированный способ
4656,supervised method,Метод с учителем
4657,supervised model,супервизированная модель
4658,supervised multi-task learning,супервизированное многозадачное обучение
4659,supervised setting,обучение с учителем
4660,supervised system,супервизированная система
4661,supervised training,супервизированное обучение
4662,support,поддержка
4663,support set,набор поддержки
4664,support threshold,порог поддержки
4665,support vector,вектор опоры
4666,support vector machine,метод опорных векторов
4667,surface normal,нормаль поверхности
4668,surface normal estimator,оцениватель нормалей поверхности
4669,surface normal prediction,предсказание нормалей поверхности
4670,surface realization,реализация поверхности
4671,surrogate,суррогат
4672,surrogate function,суррогатная функция
4673,surrogate loss,суррогатная потеря
4674,surrogate loss function,суррогатная функция потерь
4675,surrogate model,суррогатная модель
4676,syllogism,силлогизм
4677,symbol grounding problem,проблема с заземлением символа
4678,symbolic representation,символическое представление
4679,symmetric matrix,симметричная матрица
4680,symmetric positive semidefinite matrix,симметричная положительно полуопределённая матрица
4681,symmetric relation,отношение симметричное
4682,symmetrization,симметризация
4683,synchronous context-free grammar,синхронная контекстно-свободная грамматика
4684,synonymy,Синонимия
4685,synset,синсет
4686,syntactic analysis,анализ синтаксический
4687,syntactic category,синтаксическая категория
4688,syntactic constraint,синтаксическое ограничение
4689,syntactic dependency,синтаксическая зависимость
4690,syntactic dependency parsing,синтаксический анализ зависимостей
4691,syntactic dependency tree,дерево синтаксических зависимостей
4692,syntactic feature,синтаксическая особенность
4693,syntactic information,синтаксическая информация
4694,syntactic parse,синтаксический анализ
4695,syntactic parser,анализатор синтаксический
4696,syntactic regularity,синтаксическая регулярность
4697,syntactic representation,синтаксическое представление
4698,syntactic rule,правило синтаксическое
4699,syntactic similarity,синтаксическое сходство
4700,syntactic structure,синтаксическая структура
4701,syntactic tree,синтаксическое дерево
4702,syntax tree,синтаксическое дерево
4703,synthetic dataset,Синтетический набор данных
4704,system identification,идентификация системы
4705,t-test,t-тест
4706,tactic planning,планирование тактическое
4707,tactile perception,восприятие тактильной информации
4708,tag recommendation,рекомендация тегов
4709,tag sequence,последовательность тегов
4710,tagger,теггер
4711,tagset,набор тегов
4712,tail entity,хвостовая сущность
4713,tangent space,касательное пространство
4714,tanh activation function,функция активации tanh
4715,target,целевая переменная
4716,target classifier,целевой классификатор
4717,target distribution,целевое распределение
4718,target domain,целевой домен
4719,target function,целевая функция
4720,target instance,целевой экземпляр
4721,target model,целевая модель
4722,target network,целевая сеть
4723,target node,целевой узел
4724,target policy,Целевая политика
4725,target sentence,целевое предложение
4726,target sequence,целевая последовательность
4727,target task,целевая задача
4728,target token,целевой токен
4729,target variable,целевая переменная
4730,target vector,целевой вектор
4731,target vocabulary,целевой словарный запас
4732,target word,целевое слово
4733,target-to-source model,модель перевода с целевого языка на исходный язык
4734,task adaptation,адаптация задачи
4735,task model,модель задачи
4736,task-oriented dialog system,ориентированная на задачу диалоговая система
4737,task-oriented dialogue system,Ориентированная на задачу диалоговая система
4738,task-specific model,"модель, специфичная для задачи"
4739,taxonomy,таксономия
4740,teacher forcing,обучение с учителем
4741,teacher network,учительская сеть
4742,teaching selection,выборка обучающая
4743,temperature parameter,параметр температуры
4744,temperature scaling,масштабирование температуры
4745,template,template - шаблон
4746,template model,шаблонная модель
4747,template-matching,сопоставление шаблонов
4748,temporal derivative,темпоральная производная
4749,temporal difference,временная разность
4750,temporal difference learning,обучение с временными различиями
4751,temporal drift,Временной дрейф
4752,temporal fusion,временная фузия
4753,temporal locality,Временная локальность
4754,temporal logic,логика временная
4755,temporal reasoning,темпоральное рассуждение
4756,temporal relation,отношение временное
4757,temporal variable,темпоральная переменная
4758,tensor,Тензор
4759,tensor decomposition,разложение тензора
4760,tensor factorization,тензорная факторизация
4761,tensor field,тензорное поле
4762,tensor product,Тензорное произведение
4763,term,терм
4764,term frequency,Частота термина
4765,terminal node,терминальный узел
4766,terminal state,Терминальное состояние
4767,termination condition,условие завершения
4768,termination criterion,критерий остановки
4769,terminology,терминология
4770,test accuracy,точность на тестовых данных
4771,test dataset,тестовый набор данных
4772,test datum,тестовый экземпляр
4773,test domain,тестовый домен
4774,test error,ошибка на тестовой выборке
4775,test loss,потери на тестовых данных
4776,test set,тестовый набор
4777,test split,тестовый сплит
4778,test time,на этапе тестирования
4779,testing set,тестовая выборка
4780,text categorization,категоризация текста
4781,text corpus,текстовый корпус
4782,text embedding,текстовое встраивание
4783,text encoder,текстовый энкодер
4784,text generation,генерация текста
4785,text generation model,модель генерации текста
4786,text mining,текстовая аналитика
4787,text segmentation,сегментация текста
4788,text simplification,упрощение текста
4789,text-davinci-002,text-davinci-002
4790,text-davinci-003,text-davinci-003
4791,text-to-image diffusion model,модель диффузии текст-в-изображение
4792,text-to-image generation,генерация изображений из текста
4793,text-to-image model,модель преобразования текста в изображение
4794,text-to-image synthesis,синтез изображений по тексту
4795,textual entailment,текстовая импликация
4796,tf-idf,tf-idf
4797,theorem proving,доказательство теоремы
4798,threat model,модель угроз
4799,threshold,порог
4800,threshold function,Пороговая функция
4801,threshold parameter,пороговый параметр
4802,threshold policy,пороговая политика
4803,time complexity,временная сложность
4804,time series,временные ряды
4805,time series analysis,анализ временных рядов
4806,time series forecasting,прогнозирование временных рядов
4807,time step,временной шаг
4808,time-series datum,элемент временного ряда
4809,time-series model,модель временных рядов
4810,time/space complexity,временная/пространственная сложность
4811,token classification,классификация токенов
4812,token embedding,эмбеддинг токенов
4813,token frequency,частота токенов
4814,token length,длина токена
4815,token representation,представление токена
4816,token sequence,последовательность токенов
4817,token space,пространство токенов
4818,token vector,Вектор токена
4819,token vocabulary,словарь токенов
4820,token-level,на уровне токенов
4821,token-level attention,внимание на уровне токенов
