Index,English,Japanese
3735,probabilistic semantic,確率的意味論
3736,probabilistic topic modeling,確率的トピックモデル
3737,probabilistic tree,確率的木
3738,probability density,確率密度
3739,probability density function,確率密度関数
3740,probability distribution,確率分布
3741,probability flow,確率フロー
3742,probability map,確率マップ
3743,probability mass,確率質量
3744,probability mass function,確率質量関数
3745,probability matrix,確率行列
3746,probability measure,確率測度
3747,probability model,確率モデル
3748,probability multiset,確率多集合
3749,probability simplex,確率単体
3750,probability space,確率空間
3751,probability threshold,確率閾値
3752,probability transition matrix,確率遷移行列
3753,probability vector,確率ベクトル
3754,probing classifier,プロービング分類器
3756,problem space,問題空間
3757,product distribution,積分布
3758,product-of-expert,エキスパートの積
3759,program induction,プログラム誘導
3760,projection algorithm,射影アルゴリズム
3761,projection layer,射影層
3762,projection matrix,射影行列
3763,projection operator,射影演算子
3764,projection step,射影ステップ
3765,projective camera,射影カメラ
3766,projective dependency parsing,射影依存構文解析
3767,projective dependency tree,射影依存木
3768,projective parsing,射影構文解析
3769,projective transformation,射影変換
3770,prompt,プロンプト
3771,prompt engineering,プロンプトエンジニアリング
3772,prompt learning,プロンプト学習
3773,prompt tuning,プロンプトチューニング
3774,pronoun resolution,代名詞解決
3776,proof complexity,証明の複雑性
3777,proof number,証明数
3778,proof tree,証明木
3779,propensity score,傾向スコア
3780,proposal distribution,提案分布
3781,proposal probability,提案確率
3783,propositional,命題の
3784,propositional formula,命題式
3785,propositional language,命題言語
3786,propositional logic,命題論理
3787,propositional variable,命題変数
3788,protected attribute,保護属性
3789,protein folding,タンパク質折りたたみ
3790,prototype embedding,プロトタイプ埋め込み
3791,proximal operator,近位演算子
3792,pruning algorithm,プルーニングアルゴリズム
3794,pseudo-inverse,擬似逆行列
3795,pure strategy,純戦略
3796,pyramid level,ピラミッドレベル
3797,quadratic assignment problem,二次割り当て問題
3798,quadratic loss,二次損失
3799,quadratic program,二次計画
3800,quadratic regularizer,二次正則化項
3803,quantal response equilibrium,クアンタル応答均衡
3804,quantified variable,定量変数
3805,quantifier,量化子
3806,quantile,分位数
3807,quantization,量子化
3808,quantization function,量子化関数
3809,quantizer,量子化器
3810,quasi-Newton method,準ニュートン法
3811,quaternion,四元数
3814,query answering,クエリ応答
3815,query complexity,クエリ複雑性
3816,query context,クエリコンテキスト
3817,query embedding,クエリ埋め込み
3818,query image,クエリ画像
3819,query language,クエリ言語
3820,query phase,クエリフェーズ
3821,query point,クエリポイント
3822,query processing,クエリ処理
3823,query reformulation,クエリ再構成
3824,query representation,クエリ表現
3825,query strategy,クエリ戦略
3826,query time,クエリ時間
3827,query vector,クエリベクトル
3828,query-document pair,クエリ-ドキュメントペア
3831,radiance field,放射輝度場
3832,random crop,ランダムクロップ
3833,random feature,ランダム特徴
3834,random forest,ランダムフォレスト
3835,random matrix theory,ランダム行列理論
3836,random policy,ランダムポリシー
3837,random projection,ランダム射影
3838,random projection algorithm,ランダム射影アルゴリズム
3839,random sampling,ランダムサンプリング
3840,random seed,ランダムシード
3841,random variable,ランダム変数
3842,random vector,ランダムベクトル
3843,random walk model,ランダムウォークモデル
3844,randomization,ランダム化
3845,randomized algorithm,ランダム化アルゴリズム
3846,randomized smoothing,ランダム化スムージング
3847,range query,範囲クエリ
3848,rank,ランク
3849,rank-one update,ランク1更新
3850,ranking algorithm,ランキングアルゴリズム
3851,ranking function,ランキング関数
3852,ranking model,ランキングモデル
3854,reachable state,到達可能状態
3855,readout function,読み出し関数
3856,reasoning,推論
3857,recall,再現率
3858,receptive field,受容野
3859,recognition,認識
3860,recognition model,認識モデル
3861,recommendation algorithm,推薦アルゴリズム
3862,recommendation model,推薦モデル
3863,recommendation system,推薦システム
3864,recommender,レコメンダー
3865,recommender system,レコメンダーシステム
3866,reconstruction algorithm,再構成アルゴリズム
3867,reconstruction error,再構成誤差
3868,reconstruction loss,再構成損失
3869,recovery algorithm,復元アルゴリズム
3870,rectified linear unit,整流線形ユニット
3871,rectified stereo pair,整流ステレオペア
3872,recurrent,再帰的
3873,recurrent architecture,再帰的アーキテクチャ
3874,recurrent autoencoder,再帰的オートエンコーダ
3875,recurrent connection,再帰接続
3876,recurrent dynamic,反復的な動的
3877,recurrent model,再帰モデル
3878,recurrent network,再帰ネットワーク
3879,recurrent neural network,再帰型ニューラルネットワーク
3880,recurrent state,再帰状態
3881,recursion,再帰
3882,recursive call,再帰呼び出し
3883,recursive neural model,再帰ニューラルモデル
3884,recursive neural network,再帰ニューラルネットワーク
3885,reference distribution,参照分布
3886,reference resolution,参照解決
3887,reference text,参照テキスト
3888,reference-based metric,参照ベースのメトリック
3889,refinement network,リファインメントネットワーク
3890,regression,回帰
3891,regression analysis,回帰分析
3892,regression coefficient,回帰係数
3893,regression function,回帰関数
3894,regression model,回帰モデル
3895,regression problem,回帰問題
3896,regression task,回帰タスク
3897,regression tree,回帰木
3898,regret bound,後悔境界
3899,regret matching,後悔マッチング
3900,regret minimization,後悔最小化
3901,regret minimization algorithm,後悔最小化アルゴリズム
3902,regret minimizer,後悔最小化器
3903,regular expression,正規表現
3904,regularisation,正則化
3905,regularization,正則化
3906,regularization constant,正則化定数
3907,regularization function,正則化関数
3908,regularization loss,正則化損失
3909,regularization parameter,正則化パラメータ
3910,regularization path,正則化パス
3911,regularization penalty,正則化ペナルティ
3912,regularization strength,正則化強度
3913,regularization term,正則化項
3914,regularization weight,正則化重み
3915,regularization-based method,正則化ベースの手法
3916,regularizer,正則化項
3917,reinforcement learning,強化学習
3918,reinforcement learning algorithm,強化学習アルゴリズム
3919,rejection sampling,棄却サンプリング
3921,relation extraction,関係抽出
3922,relation type,関係タイプ
3923,relational tuple,関係タプル
3925,relative entropy,相対エントロピー
3926,relative positional embedding,相対位置埋め込み
3927,relevance score,関連スコア
3928,rendering network,レンダリングネットワーク
3929,renormalization,再正規化
3930,reparameterization,再パラメータ化
3931,reparameterization trick,再パラメータ化トリック
3932,replay buffer,リプレイバッファ
3933,replay memory,リプレイメモリ
3935,representation learning,表現学習
3936,representation matrix,表現行列
3937,representation space,表現空間
3938,representation vector,表現ベクトル
3940,representer theorem,表現者定理
3941,reproducing kernel Hilbert space,再生核ヒルベルト空間
3942,reproducing property,再生特性
3943,reprojection,再投影
3944,reprojection error,再投影誤差
3945,reranker,リランキング
3946,reranking model,リランキングモデル
3947,reranking parser,リランキング・パーサー
3949,reservoir sampling,リザーバサンプリング
3950,residual block,残差ブロック
3951,residual branch,残差ブランチ
3952,residual connection,残差接続
3953,residual error,残差誤差
3954,residual function,残差関数
3955,residual graph,残差グラフ
3956,residual learning,残差学習
3957,residual network,残差ネットワーク
3959,restricted isometry property,制限等長性特性
3960,retrieval,検索
3961,retrieval function,検索関数
3962,retrieval method,検索手法
3963,retrieval model,検索モデル
3964,retrieval system,検索システム
3966,reverse-mode,逆モード
3967,reward,報酬
3968,reward function,報酬関数
3969,reward model,報酬モデル
3970,reward shaping,報酬シェーピング
3971,reward signal,報酬信号
3972,reward-maximizing policy,報酬最大化ポリシー
3973,ridge regression,リッジ回帰
3974,ridge regularization,リッジ正則化
3975,right-to-left model,右から左へのモデル
3976,rigid body transformation,剛体変換
3977,rigid transformation,剛体変換
3978,risk minimization,リスク最小化
3979,roberta-large,ロバータ・ラージ
3980,robotic,ロボティクス
3981,robust optimization,ロバスト最適化
3982,robust risk,ロバストリスク
3983,robustness,堅牢性
3984,role assertion,役割アサーション
3985,role atom,役割アトム
3986,role classification,役割分類
3987,role name,ロール名
3988,roll-out policy,ロールアウトポリシー
3989,rollout,ロールアウト
3990,rollout length,ロールアウト長
3991,root mean square error,二乗平均平方根誤差
3992,root node,ルートノード
3993,rotation angle,回転角
3994,rotation invariance,回転不変性
3995,rotation matrix,回転行列
3996,row vector,行ベクトル
3997,rule body,ルール本体
3998,runtime complexity,実行時複雑性
3999,saddle-point problem,サドルポイント問題
4000,saliency,顕著性
4001,saliency map,顕著性マップ
4002,sample complexity,サンプル複雑度
4003,sample complexity bound,サンプル複雑性境界
4004,sample covariance matrix,サンプル共分散行列
4005,sample efficiency,サンプル効率
4006,sample selection,サンプル選択
4007,sample space,標本空間
4008,sample variance,標本分散
4009,sample-efficient,標本効率的
4010,sampler,サンプラー
4011,sampling algorithm,サンプリングアルゴリズム
4012,sampling-based inference,サンプリングベースの推論
4013,satisfiability,充足可能性
4014,satisfiability problem,充足可能性問題
4015,scalability,スケーラビリティ
4016,scalar,スカラー
4017,scalar product,スカラー積
4018,scalarization,スカラー化
4019,scale invariance,スケール不変性
4020,scale parameter,スケールパラメータ
4021,scaled dot-product,スケーリングされたドット積
4022,scaled dot-product attention,スケールド・ドット・プロダクト・アテンション
4023,scaling factor,スケーリングファクター
4024,scanning window detector,スキャニングウィンドウ検出器
4025,scene category,シーンカテゴリ
4026,scene classification,シーン分類
4027,scene classifier,シーン分類器
4028,scene flow,シーンフロー
4029,scene flow estimation,シーンフロー推定
4030,scene geometry,シーンジオメトリ
4031,scene graph,シーングラフ
4032,scene parsing,シーン解析
4033,scene recognition,シーン認識
4034,scene reconstruction,シーン再構築
4035,scene representation,シーン表現
4036,scene understanding,シーン理解
4037,scheduled sampling,スケジュールサンプリング
4038,scheduler,スケジューラ
4039,schema item,スキーマ項目
4040,score function,スコア関数
4041,score matching,スコアマッチング
4042,score vector,スコアベクトル
4043,score-based model,スコアベースモデル
4044,scoring function,スコアリング関数
4046,search algorithm,検索アルゴリズム
4047,search problem,探索問題
4048,search procedure,探索手続き
4049,search space,探索空間
4050,search tree,探索木
4051,second order,セカンドオーダー
4052,second order statistic,二次統計量
4053,second-order optimization,二次最適化
4054,second-order potential,二次ポテンシャル
4055,segmentation,セグメンテーション
4056,segmentation algorithm,セグメンテーションアルゴリズム
4057,segmentation map,セグメンテーションマップ
4058,segmentation mask,セグメンテーションマスク
4059,selection bias,選択バイアス
4060,selectional preference,選択的選好
4061,self-attention,自己注意機構
4062,self-attention head,セルフアテンションヘッド
4063,self-attention layer,セルフアテンション層
4064,self-attention matrix,セルフアテンション行列
4065,self-attention mechanism,自己注意機構
4066,self-attention model,セルフアテンションモデル
4067,self-attention module,セルフアテンションモジュール
4068,self-learning,自己学習
4069,self-loop,自己ループ
4070,self-play,自己対戦
4071,self-supervised method,自己教師あり手法
4072,self-supervised model,自己教師ありモデル
4073,self-supervised representation learning,自己教師あり表現学習
4074,self-supervised signal,自己教師あり信号
4075,self-supervised training,自己教師あり学習
4076,self-supervision,自己教師あり学習
4077,self-training,自己学習
4078,semantic alignment,セマンティックアライメント
4079,semantic analysis,セマンティック分析
4080,semantic annotation,セマンティックアノテーション
4081,semantic category,セマンティックカテゴリ
4082,semantic class,セマンティッククラス
4083,semantic constraint,意味的制約
4084,semantic distance,意味的距離
4085,semantic encoder,セマンティックエンコーダ
4086,semantic equivalence,意味的同等性
4087,semantic feature,意味的特徴
4088,semantic graph,セマンティックグラフ
4089,semantic information,セマンティック情報
4090,semantic interpretation,セマンティック解釈
4091,semantic label,セマンティックラベル
4092,semantic memory,セマンティックメモリ
4093,semantic model,セマンティックモデル
4094,semantic network,セマンティックネットワーク
4095,semantic object,セマンティックオブジェクト
4096,semantic operator,意味演算子
4097,semantic parse,セマンティック解析
4098,semantic parser,セマンティックパーサー
4099,semantic priming,セマンティックプライミング
4100,semantic relation,セマンティック関係
4101,semantic representation,セマンティック表現
4102,semantic role,セマンティックロール
4103,semantic role label,意味役割ラベル
4104,semantic search,セマンティック検索
4105,semantic segmentation,セマンティックセグメンテーション
4106,semantic similarity,意味的類似性
4107,semantic similarity measure,意味的類似度尺度
4108,semantic space,意味空間
4109,semantic structure,意味構造
4110,semantic symbol,意味記号
4111,semantic textual similarity,意味的テキスト類似性
4112,semantic unit,意味単位
4113,semantic vector,意味ベクトル
4114,semantic vector space,意味ベクトル空間
4117,semi-Markov,セミ・マルコフ
4118,semi-definite programming,半正定値計画法
4119,semi-supervised clustering,半教師ありクラスタリング
4120,semi-supervised learning,半教師あり学習
4121,semi-supervision,半教師あり
4122,semidefinite program,半正定値プログラム
4124,sense disambiguation,意味の曖昧さ解消
4125,sensitive attribute,センシティブ属性
4126,sensitivity analysis,感度分析
4128,sentence classification,文分類
4129,sentence compression,文圧縮
4130,sentence embedding,文埋め込み
4131,sentence encoder,文エンコーダー
4132,sentence representation,文表現
4133,sentence segmentation,文分割
4134,sentence vector,文ベクトル
4135,sentence-level,文レベル
4136,sentence-level classification,文レベル分類
4137,sentence-level representation,文レベル表現
4139,sentiment,感情
4140,sentiment analysis,感情分析
4141,sentiment analysis model,感情分析モデル
4142,sentiment classification,感情分類
4143,sentiment classifier,感情分類器
4144,sentiment detection,感情検出
4145,sentiment transfer,感情転送
4146,separation oracle,分離オラクル
4147,separation parameter,分離パラメータ
4148,separator token,セパレータトークン
4149,seq2seq model,seq2seqモデル
4151,sequence alignment,シーケンスアライメント
4152,sequence classification,シーケンス分類
4153,sequence database,シーケンスデータベース
4154,sequence generation,シーケンス生成
4155,sequence labeling,シーケンスラベリング
4156,sequence labeling model,シーケンスラベリングモデル
4157,sequence length,シーケンス長
4158,sequence model,シーケンスモデル
4159,sequence prediction,シーケンス予測
4160,sequence tagging,シーケンスタギング
4161,sequence transduction,シーケンストランスダクション
4162,sequence-to-sequence,シーケンス・ツー・シーケンス
4163,sequence-to-sequence architecture,シーケンス・ツー・シーケンスアーキテクチャ
4164,sequence-to-sequence generation,シーケンス・ツー・シーケンス生成
4165,sequence-to-sequence model,シーケンス・ツー・シーケンスモデル
4166,sequence-to-sequence transduction,シーケンス・ツー・シーケンストランスダクション
4168,sequential datum,シーケンシャルデータ
4169,sequential decision making,逐次的意思決定
4170,sequential decision-making process,逐次意思決定プロセス
4171,sequential sampler,シーケンシャルサンプラー
4172,sequential tagging,シーケンシャルタグ付け
4173,set cover problem,集合被覆問題
4174,set function,集合関数
4175,shallow network,浅いネットワーク
4176,shape matching,形状マッチング
4177,shape prior,形状事前情報
4179,shift invariant,シフト不変
4180,shift reduce parser,シフトリデュースパーサー
4181,shortest path,最短経路
4182,shortest path algorithm,最短経路アルゴリズム
4183,shortest path kernel,最短経路カーネル
4184,shortest path length,最短経路長
4185,sibling model,兄弟モデル
4186,sigmoid,シグモイド
4187,sigmoid activation,シグモイド活性化
4188,sigmoid activation function,シグモイド活性化関数
4189,sigmoid function,シグモイド関数
4190,signal-to-noise ratio,信号対雑音比
4191,sim,類似度
4192,similarity,類似性
4193,similarity function,類似度関数
4194,similarity graph,類似性グラフ
4195,similarity matrix,類似度行列
4196,similarity measure,類似度尺度
4197,similarity metric,類似性尺度
4198,similarity score,類似性スコア
4199,similarity search,類似検索
4200,simplicial complex,単体複体
4201,simulated annealing,シミュレーテッドアニーリング
4203,single task learning,単一タスク学習
4204,single-label classification,単一ラベル分類
4205,single-view data,単一ビューデータ
4206,singleton,シングルトン
4207,singular value,特異値
4208,singular value decomposition,特異値分解
4209,singular vector,特異ベクトル
4210,skip connection,スキップ接続
4211,skip-gram,スキップグラム
4212,skip-gram model,スキップグラムモデル
4213,slack variable,スラック変数
4214,sliding window,スライディングウィンドウ
4215,sliding window classifier,スライディングウィンドウ分類器
4216,slot,スロット
4217,slot filling,スロット充填
4218,slot value,スロット値
4219,slot-value pair,スロット-値ペア
4220,smoothing parameter,スムージングパラメータ
4221,smoothness term,スムーズネス項
4223,social bias,社会的バイアス
4224,social network analysis,ソーシャルネットワーク分析
4225,soft margin,ソフトマージン
4226,softmax,softmax
4227,softmax activation,ソフトマックス活性化
4228,softmax activation function,ソフトマックス活性化関数
4229,softmax classifier,ソフトマックス分類器
4230,softmax distribution,ソフトマックス分布
4231,softmax function,ソフトマックス関数
4232,softmax loss,ソフトマックス損失
4233,softplus,ソフトプラス
4234,softplus activation,ソフトプラス活性化
4235,softplus function,ソフトプラス関数
4236,solution space,解空間
4237,solver,ソルバー
4238,source,ソース
4239,source domain,ソースドメイン
4240,source model,ソースモデル
4241,source node,ソースノード
4242,source sequence,ソースシーケンス
4243,source token,ソーストークン
4244,source word,ソースワード
4245,space carving,スペースカービング
4246,space complexity,空間計算量
4247,space partitioning,空間分割
4248,spam detection,スパム検出
4249,spam filtering,スパムフィルタリング
4250,span,スパン
4252,sparse,スパース
4253,sparse approximation,疎近似
4254,sparse attention,スパースアテンション
4255,sparse attention pattern,スパースアテンションパターン
4256,sparse graph,疎グラフ
4257,sparse matrix,疎行列
4258,sparse model,スパースモデル
4259,sparse recovery,スパースリカバリー
4260,sparse representation,スパース表現
4261,sparse sampling,スパースサンプリング
4262,sparse vector,スパースベクトル
4263,sparsification,スパース化
4264,sparsity,スパース性
4265,sparsity level,疎性レベル
4266,sparsity regularization,スパース性正則化
4268,spatial domain,空間領域
4269,spatial gradient,空間勾配
4270,spatial pooling,空間プーリング
4271,spatial pyramid,空間ピラミッド
4272,special token,特殊トークン
4273,spectral algorithm,スペクトルアルゴリズム
4274,spectral clustering,スペクトルクラスタリング
4275,spectral decomposition,スペクトル分解
4276,spectral embedding,スペクトル埋め込み
4277,spectral gap,スペクトルギャップ
4278,spectral learning,スペクトル学習
4279,spectral matching,スペクトルマッチング
4280,spectral method,スペクトル法
4281,spectral norm,スペクトルノルム
4282,spectral property,スペクトル特性
4283,spectrogram,スペクトログラム
4284,speech,スピーチ
4285,speech recognition,音声認識
4286,speech recognizer,音声認識器
4287,speech synthesis model,音声合成モデル
4288,speech synthesizer,音声合成器
4290,spoken dialogue system,音声対話システム
4291,spurious correlation,偽相関
4292,squared Euclidean distance,二乗ユークリッド距離
4293,squared error loss,二乗誤差損失
4294,stable model,安定モデル
4295,stable model semantic,安定モデル意味論
4296,stance detection,スタンス検出
4297,standard normal distribution,標準正規分布
4298,start token,開始トークン
4299,state,状態
4300,state action pair,状態-行動ペア
4301,state distribution,状態分布
4302,state estimation,状態推定
4303,state machine,状態機械
4304,state matrix,状態行列
4305,state of the art algorithm,最先端アルゴリズム
4306,state representation,状態表現
4307,state sequence,状態列
4308,state space,状態空間
4309,state trajectory,状態軌跡
4310,state transition,状態遷移
4311,state transition function,状態遷移関数
4312,state transition matrix,状態遷移行列
4313,state transition model,状態遷移モデル
4314,state transition probability,状態遷移確率
4315,state value function,状態価値関数
4316,state variable,状態変数
4317,state vector,状態ベクトル
4318,state-action distribution,状態-行動分布
4319,state-action space,状態-行動空間
4320,state-action value,状態-行動価値
4321,state-action value function,状態-行動価値関数
4322,state-of-the-art baseline,最先端のベースライン
4323,state-of-the-art method,最先端の手法
4324,state-of-the-art model,最先端のモデル
4325,state-of-the-art system,最先端のシステム
4326,static analysis,静的解析
4327,stationarity,定常性
4328,stationary distribution,定常分布
4329,stationary kernel,定常カーネル
4330,stationary policy,定常方策
4332,statistical analysis,統計分析
4333,statistical independence,統計的独立性
4334,statistical learning,統計学習
4335,statistical learning algorithm,統計的学習アルゴリズム
4336,statistical learning theory,統計的学習理論
4337,statistical machine translation system,統計的機械翻訳システム
4338,statistical measure,統計的尺度
4339,statistical model,統計モデル
4340,statistical translation model,統計的翻訳モデル
4341,steepest descent,最急降下法
4342,steerable filter,ステアラブルフィルタ
4343,stemmer,ステミング器
4344,stereo algorithm,ステレオアルゴリズム
4345,stereo benchmark,ステレオベンチマーク
4346,stereo disparity,ステレオ視差
4347,stereo image,ステレオ画像
4348,stereo matching,ステレオマッチング
4349,stereo pair,ステレオペア
4350,stereo reconstruction,ステレオ再構成
4351,stereo vision,立体視
4352,stochastic algorithm,確率的アルゴリズム
4353,stochastic approximation,確率的近似
4354,stochastic depth,確率的深さ
4355,stochastic differential equation,確率微分方程式
4356,stochastic dynamic,確率的動力学
4357,stochastic environment,確率的環境
4358,stochastic game,確率ゲーム
4359,stochastic gradient,確率勾配
4360,stochastic gradient algorithm,確率的勾配アルゴリズム
4361,stochastic gradient ascent,確率的勾配上昇法
4362,stochastic gradient descent,確率的勾配降下法
4363,stochastic gradient method,確率的勾配法
4364,stochastic grammar,確率文法
4365,stochastic matrix,確率行列
4366,stochastic model,確率モデル
4367,stochastic objective,確率的目的関数
4368,stochastic optimization,確率的最適化
4369,stochastic policy,確率的ポリシー
4370,stochastic process,確率過程
4371,stochastic sampling,確率的サンプリング
4372,stochastic search algorithm,確率的探索アルゴリズム
4373,stochastic subgradient descent,確率的サブグラディエント降下法
4374,stochastic transition matrix,確率的遷移行列
4375,stochastic variational inference,確率的変分推論
4376,stochasticity,確率性
4377,stop word,ストップワード
4378,stop-gradient,ストップグラディエント
4379,stop-gradient operation,ストップグラディエント操作
4380,stopping condition,停止条件
4381,stopping criterion,停止基準
4382,stratified sampling,層化サンプリング
4383,streaming algorithm,ストリーミングアルゴリズム
4384,streaming datum,ストリーミングデータ
4385,streaming model,ストリーミングモデル
4386,stride,ストライド
4387,string kernel metric,文字列カーネル計量
4388,structural learning,構造学習
4389,structural risk minimization,構造リスク最小化
4390,structure,構成
4391,structure learning,構造学習
4393,structured datum,構造化データ
4394,structured output,構造化出力
4395,structured perceptron,構造化パーセプトロン
4396,structured prediction,構造化予測
4397,structured prediction model,構造化予測モデル
4398,structured prediction problem,構造化予測問題
4399,structured support vector machine,構造化サポートベクターマシン
4400,student model,学生モデル
4401,style transfer,スタイル転送
4402,sub-gradient,サブグラディエント
4403,sub-gradient descent,サブグラディエント降下法
4404,sub-networks,サブネットワーク
4405,sub-population,サブポピュレーション
4406,sub-word,サブワード
4407,sub-word tokenization,サブワードトークナイゼーション
4408,subgame,サブゲーム
4409,subgradient method,サブグラディエント法
4410,subgraph isomorphism,部分グラフ同型性
4411,subgraph selection,サブグラフ選択
4412,submatrice,部分行列
4413,submatrix,サブマトリックス
4414,submodular,サブモジュラー
4415,submodular function,サブモジュラー関数
4416,submodular function optimization,サブモジュラー関数最適化
4417,submodular influence function,劣モジュラ影響関数
4418,submodular optimization,劣モジュラー最適化
4419,submodular polyhedron,劣モジュラ多面体
4420,submodular set function,劣モジュラ集合関数
4421,subnetwork,サブネットワーク
4422,suboptimal,最適でない
4423,subpixel,サブピクセル
4424,subsample,サブサンプル
4425,subsampling factor,サブサンプリング係数
4426,subspace learning,サブスペース学習
4427,subspace method,サブスペース法
4428,subspace projection,部分空間射影
4429,substitution,置換
4430,subsumption,包含関係
4431,subsumption relation,包摂関係
4432,subtree,部分木
4433,subwindow,サブウィンドウ
4434,subword,サブ単語
4435,subword token,サブワードトークン
4436,subword unit,サブワード単位
4437,successor function,後継関数
4438,successor state,後継状態
4439,successor state axiom,後継状態公理
4440,sufficient statistic,十分統計量
4441,suffix tree,サフィックスツリー
4442,summarization,要約
4443,summarization algorithm,要約アルゴリズム
4444,summarization model,要約モデル
4445,summarization system,要約システム
4447,super-pixel,スーパーピクセル
4448,super-resolution,超解像
4449,supergradient,スーパー勾配
4450,supertag,スーパータグ
4451,supervised classification,教師あり分類
4452,supervised classification model,教師あり分類モデル
4453,supervised classifier,教師あり分類器
4454,supervised contrastive learning,教師あり対照学習
4455,supervised datum,教師ありデータ
4456,supervised finetuning,教師ありファインチューニング
4457,supervised learning,教師あり学習
4458,supervised manner,教師ありの方法
4459,supervised method,教師あり手法
4460,supervised model,教師ありモデル
4461,supervised multi-task learning,教師ありマルチタスク学習
4462,supervised setting,教師あり設定
4463,supervised system,教師ありシステム
4464,supervised training,教師あり学習
4465,support,サポート
4466,support set,サポートセット
4467,support threshold,サポート閾値
4468,support vector,サポートベクトル
4469,support vector machine,サポートベクターマシン
4470,surface normal,表面法線
4471,surface normal estimator,表面法線推定器
4472,surface normal prediction,表面法線予測
4473,surface realization,表面実現
4474,surrogate,代理変数
4475,surrogate function,代理関数
4476,surrogate loss,代理損失
4477,surrogate loss function,代理損失関数
4478,surrogate model,代理モデル
4479,symbol grounding problem,シンボルグラウンディング問題
4480,symbolic representation,シンボリック表現
4481,symmetric matrix,対称行列
4482,symmetric positive semidefinite matrix,対称正半定値行列
4483,symmetrization,対称化
4484,synchronous context-free grammar,同期文脈自由文法
4485,synonymy,同義性
4486,synset,同義語集合
4488,syntactic analysis,構文解析
4489,syntactic category,統語範疇
4490,syntactic constraint,構文制約
4491,syntactic dependency,構文依存
4492,syntactic dependency parsing,構文依存解析
4493,syntactic dependency tree,構文依存木
4494,syntactic feature,統語的特徴
4495,syntactic information,構文情報
4496,syntactic parse,構文解析
4497,syntactic parser,構文解析器
4498,syntactic regularity,構文的規則性
4499,syntactic representation,構文表現
4500,syntactic similarity,構文的類似性
4501,syntactic structure,構文構造
4502,syntactic tree,構文木
4504,syntax tree,構文木
4505,synthetic dataset,合成データセット
4507,system identification,システム同定
4509,t-test,t検定
4510,tag recommendation,タグ推薦
4511,tag sequence,タグシーケンス
4512,tagger,タガー
4514,tagset,タグセット
4515,tail entity,テールエンティティ
4516,tangent space,接線空間
4517,tanh activation function,tanh活性化関数
4518,target,ターゲット
4519,target classifier,ターゲット分類器
4520,target distribution,ターゲット分布
4521,target domain,ターゲットドメイン
4522,target function,ターゲット関数
4523,target instance,ターゲットインスタンス
4524,target model,ターゲットモデル
4525,target network,ターゲットネットワーク
4526,target node,ターゲットノード
4527,target policy,ターゲットポリシー
4528,target sentence,ターゲット文
4529,target sequence,ターゲットシーケンス
4530,target task,ターゲットタスク
4531,target token,ターゲットトークン
4532,target variable,ターゲット変数
4533,target vector,ターゲットベクトル
4534,target vocabulary,ターゲット語彙
4535,target word,ターゲット単語
4536,target-to-source model,ターゲットからソースへのモデル
4538,task adaptation,タスク適応
4539,task model,タスクモデル
4540,task-oriented dialog system,タスク指向対話システム
4541,task-oriented dialogue system,タスク指向ダイアログシステム
4542,task-specific model,タスク特化モデル
4544,taxonomy,タクソノミー
4545,teacher forcing,教師強制
4546,teacher network,教師ネットワーク
4547,temperature parameter,温度パラメータ
4548,temperature scaling,温度スケーリング
4549,template,テンプレート
4550,template model,テンプレートモデル
4551,template-matching,テンプレートマッチング
4552,temporal derivative,時間微分
4553,temporal difference,時間差
4554,temporal difference learning,時間差学習
4555,temporal drift,時間的ドリフト
4556,temporal fusion,時間的融合
4557,temporal locality,時間的局所性
4558,temporal logic,時間論理
4559,temporal reasoning,時間推論
4560,temporal variable,時間変数
4561,tensor,テンソル
4562,tensor decomposition,テンソル分解
4563,tensor factorization,テンソル因子分解
4564,tensor field,テンソル場
4565,tensor product,テンソル積
4566,term frequency,用語頻度
4567,terminal node,終端ノード
4568,terminal state,終端状態
4569,termination condition,終了条件
4570,termination criterion,終了基準
4571,terminology,用語
4572,test accuracy,テスト精度
4573,test dataset,テストデータセット
4574,test datum,テストデータ
4575,test domain,テストドメイン
4576,test error,テスト誤差
4577,test loss,テスト損失
4578,test set,テストセット
4579,test split,テスト分割
4580,test time,テスト時
4581,testing set,テストセット
4583,text categorization,テキスト分類
4584,text corpus,テキストコーパス
4585,text embedding,テキスト埋め込み
4586,text encoder,テキストエンコーダ
4587,text generation,テキスト生成
4588,text generation model,テキスト生成モデル
4589,text mining,テキストマイニング
4590,text segmentation,テキストセグメンテーション
4591,text simplification,テキスト簡略化
4592,text-davinci-002,テキスト-ダヴィンチ-002
4593,text-davinci-003,テキスト-ダヴィンチ-003
4594,text-to-image diffusion model,テキストから画像への拡散モデル
4595,text-to-image generation,テキストから画像生成
4596,text-to-image model,テキストから画像モデル
4597,text-to-image synthesis,テキストから画像合成
4599,textual entailment,テキスト含意
4600,tf-idf,tf-idf
4601,threat model,脅威モデル
4602,threshold,閾値
4603,threshold function,閾値関数
4604,threshold parameter,閾値パラメータ
4605,threshold policy,閾値ポリシー
4606,time complexity,時間計算量
4607,time series,時系列
4608,time series analysis,時系列分析
4609,time series forecasting,時系列予測
4610,time step,時間ステップ
4611,time-series datum,時系列データ
4612,time-series model,時系列モデル
4613,time/space complexity,時間/空間計算量
4615,token classification,トークン分類
4616,token embedding,トークン埋め込み
4617,token frequency,トークン頻度
4618,token length,トークン長
