Index,English,Arabic
3651,probabilistic framework,الإطار الاحتمالي
3652,probabilistic generative model,نموذج توليدي احتمالي
3653,probabilistic graphical model,النموذج البياني الاحتمالي
3654,probabilistic inference,الاستدلال الاحتمالي
3655,probabilistic logic,المنطق الاحتمالي
3656,probabilistic method,الطريقة الاحتمالية
3657,probabilistic model,النموذج الاحتمالي
3658,probabilistic relational model,نموذج علائقي احتمالي
3659,probabilistic representation,تمثيل احتمالي
3660,probabilistic semantic,الدلالات الاحتمالية
3661,probabilistic topic modeling,نمذجة المواضيع الاحتمالية
3662,probabilistic tree,الشجرة الاحتمالية
3663,probability density,كثافة الاحتمال
3664,probability density function,دالة كثافة الاحتمال
3665,probability distribution,التوزيع الاحتمالي
3666,probability flow,التدفق الاحتمالي
3667,probability map,خريطة الاحتمالات
3668,probability mass,الكتلة الاحتمالية
3669,probability mass function,دالة كتلة الاحتمال
3670,probability matrix,مصفوفة الاحتمالات
3671,probability measure,قياس الاحتمال
3672,probability model,النموذج الاحتمالي
3673,probability multiset,مجموعة احتمالية
3674,probability simplex,مجموعة الاحتمالات
3675,probability space,فضاء الاحتمالات
3676,probability threshold,عتبة الاحتمال
3677,probability transition matrix,مصفوفة انتقال الاحتمالات
3678,probability vector,متجه الاحتمالات
3679,probing classifier,المصنف الاستقصائي
3680,problem space,فضاء المشكلة
3681,product distribution,التوزيع الضربي
3682,product-of-expert,حاصل ضرب الخبراء
3683,program induction,استدلال البرامج
3684,projection algorithm,خوارزمية الإسقاط
3685,projection layer,طبقة الإسقاط
3686,projection matrix,مصفوفة الإسقاط
3687,projection operator,مشغل الإسقاط
3688,projection step,خطوة الإسقاط
3689,projective camera,الكاميرا الإسقاطية
3690,projective dependency parsing,تحليل التبعية الإسقاطية
3691,projective dependency tree,شجرة التبعية الإسقاطية
3692,projective parsing,التحليل الإسقاطي
3693,projective transformation,التحويل الإسقاطي
3694,prompt,موجه
3695,prompt engineering,هندسة الموجهات
3696,prompt learning,تعلم المطالبات
3697,prompt tuning,تعديل التلميحات
3698,pronoun resolution,حل الضمائر
3699,proof complexity,تعقيد البرهان
3700,proof number,رقم البرهان
3701,proof tree,شجرة الإثبات
3702,propensity score,درجة الميل
3703,proposal distribution,توزيع الاقتراح
3704,proposal probability,احتمال الاقتراح
3705,propositional,اقتراني
3706,propositional formula,صيغة اقتراحية
3707,propositional language,لغة قضوية
3708,propositional logic,المنطق الاقتراحي
3709,propositional variable,متغير قضوي
3710,protected attribute,سمة محمية
3711,protein folding,طي البروتين
3712,prototype embedding,تضمين النموذج الأولي
3713,proximal operator,مُشغل قُرب
3714,pruning,تشذيب
3715,pruning algorithm,خوارزمية التقليم
3716,pseudo-inverse,المعكوس الزائف
3717,pure strategy,استراتيجية نقية
3718,pyramid level,مستوى الهرم
3719,quadratic assignment problem,مشكلة التعيين التربيعي
3720,quadratic loss,خسارة تربيعية
3721,quadratic program,برنامج تربيعي
3722,quadratic regularizer,المنظم التربيعي
3723,quantal response equilibrium,توازن الاستجابة الكوانتية
3724,quantified variable,المتغير الكمي
3725,quantifier,محدد الكمية
3726,quantile,كوانتايل
3727,quantization,التجزيء الكمي
3728,quantization function,دالة التكميم
3729,quantizer,دالة التكميم
3730,quasi-Newton method,طريقة شبه نيوتن
3731,quaternion,كواتيرنيون
3732,query answering,إجابة الاستعلام
3733,query complexity,تعقيد الاستعلام
3734,query context,سياق الاستعلام
3735,query embedding,تمثيل الاستعلام
3736,query image,صورة الاستعلام
3737,query language,لغة الاستعلام
3738,query phase,مرحلة الاستعلام
3739,query point,نقطة الاستعلام
3740,query processing,معالجة الاستعلام
3741,query reformulation,إعادة صياغة الاستعلام
3742,query representation,تمثيل الاستعلام
3743,query strategy,استراتيجية الاستعلام
3744,query time,وقت الاستعلام
3745,query vector,متجه الاستعلام
3746,query-document pair,زوج الاستعلام-المستند
3747,radial basis function,دالة القاعدة الشعاعية
3748,radial basis function network,شبكة دالة القاعدة الشعاعية
3749,radiance field,مجال الإشعاع
3750,random crop,قص عشوائي
3751,random feature,ميزات عشوائية
3752,random forest,غابة عشوائية
3753,random matrix theory,نظرية المصفوفات العشوائية
3754,random policy,سياسة عشوائية
3755,random projection,الإسقاط العشوائي
3756,random projection algorithm,خوارزمية الإسقاط العشوائي
3757,random sampling,أخذ العينات العشوائية
3758,random seed,بذرة عشوائية
3759,random variable,المتغير العشوائي
3760,random vector,متجه عشوائي
3761,random walk model,نموذج السير العشوائي
3762,randomization,التعشية
3763,randomized algorithm,خوارزمية عشوائية
3764,randomized smoothing,التنعيم العشوائي
3765,range query,استعلام النطاق
3766,rank,رتبة
3767,rank-one update,تحديث من الرتبة الواحدة
3768,ranking algorithm,خوارزمية الترتيب
3769,ranking function,دالة الترتيب
3770,ranking model,نموذج الترتيب
3771,reachable state,الحالة القابلة للوصول
3772,readout function,دالة القراءة
3773,reasoning,المنطق
3774,recall,الاستدعاء
3775,receptive field,المجال الاستقبالي
3776,recognition,التعرف
3777,recognition model,نموذج التعرف
3778,recommendation algorithm,خوارزمية التوصية
3779,recommendation model,نموذج التوصية
3780,recommendation system,نظام توصيات
3781,recommender,الموصي
3782,recommender system,نظام التوصية
3783,reconstruction algorithm,خوارزمية إعادة البناء
3784,reconstruction error,خطأ إعادة الإعمار
3785,reconstruction loss,خسارة إعادة الإعمار
3786,recovery algorithm,خوارزمية الاسترداد
3787,rectified linear unit,وحدة خطية مصححة 
3788,rectified stereo pair,زوج استريو مُصحَّح
3789,recurrent,تكراري
3790,recurrent architecture,بنية تكرارية
3791,recurrent autoencoder,مشفر تلقائي متكرر
3792,recurrent connection,الاتصال المتكرر
3793,recurrent dynamic,ديناميات متكررة
3794,recurrent model,نموذج متكرر
3795,recurrent network,الشبكة المتكررة
3796,recurrent neural network,الشبكة العصبية المتكررة
3797,recurrent neural networks,شبكة عصبية تكرارية
3798,recurrent state,حالة متكررة
3799,recursion,العودية
3800,recursive call,الاستدعاء التكراري
3801,recursive neural model,النموذج العصبي العودي
3802,recursive neural network,الشبكة العصبية العودية
3803,reference distribution,التوزيع المرجعي
3804,reference resolution,حل المرجعية
3805,reference text,النص المرجعي
3806,reference-based metric,مقياس قائم على المرجع
3807,refinement network,شبكة الصقل
3808,regression,الانحدار
3809,regression analysis,تحليل الانحدار
3810,regression coefficient,معامل الانحدار
3811,regression function,دالة الانحدار
3812,regression model,نموذج الانحدار
3813,regression problem,مشكلة الانحدار
3814,regression task,مهمة الانحدار
3815,regression tree,شجرة الانحدار
3816,regret bound,الأسف ملزمة
3817,regret matching,مطابقة الندم
3818,regret minimization,تقليل الندم
3819,regret minimization algorithm,خوارزمية التقليل من الندم
3820,regret minimizer,مُقلل الندم
3821,regular expression,التعبير النمطي
3822,regularisation,تنظيم
3823,regularization,ضبط
3824,regularization constant,ثابت الانتظام
3825,regularization function,دالة التنظيم
3826,regularization loss,خسارة الانتظام
3827,regularization parameter,معلمة التنظيم
3828,regularization path,مسار الانتظام
3829,regularization penalty,عقوبة التنظيم
3830,regularization strength,قوة التنظيم
3831,regularization term,مصطلح التنظيم
3832,regularization weight,وزن التنظيم
3833,regularization-based method,الطرق المعتمدة على التنظيم
3834,regularizer,مُنظِّم
3835,reinforcement learning,تعُّلم تعزيزي
3836,reinforcement learning algorithm,خوارزمية التعلم المعزز
3837,rejection sampling,أخذ العينات الرفض
3838,relation extraction,استخراج العلاقات
3839,relation type,نوع العلاقة
3840,relational tuple,سجل علائقي
3841,relationship extraction,استخراج العلاقة
3842,relative entropy,الإنتروبيا النسبية
3843,relative positional embedding,التضمين الموضعي النسبي
3844,relevance score,درجة الصلة
3845,rendering network,شبكة التصيير
3846,renormalization,إعادة التطبيع
3847,reparameterization,إعادة التهيئة
3848,reparameterization trick,خدعة إعادة التعيين
3849,replay buffer,ذاكرة التخزين المؤقت للإعادة
3850,replay memory,ذاكرة الإعادة
3851,representation learning,التعلم التمثيلي
3852,representation matrix,مصفوفة التمثيل
3853,representation space,فضاء التمثيل
3854,representation vector,متجه التمثيل
3855,representer theorem,مبرهنة الممثل
3856,reproducing kernel Hilbert space,فضاء هيلبرت ذو النواة المستنسخة
3857,reproducing property,خاصية الاستنساخ
3858,reprojection,إعادة الإسقاط
3859,reprojection error,خطأ إعادة الإسقاط
3860,reranker,مُعيد الترتيب
3861,reranking model,نموذج إعادة الترتيب
3862,reranking parser,مُحلل إعادة الترتيب
3863,reservoir sampling,أخذ العينات الخزاني
3864,residual block,كتلة متبقية
3865,residual branch,الفرع المتبقي
3866,residual connection,اتصال متبقي
3867,residual error,الخطأ المتبقي
3868,residual function,دالة المتبقيات
3869,residual graph,الرسم البياني المتبقي
3870,residual learning,التعلم بالمتبقيات
3871,residual network,شبكة متبقية
3872,restricted isometry property,خاصية الأيزومترية المقيدة
3873,retrieval,الاسترجاع
3874,retrieval function,دالة الاسترجاع
3875,retrieval method,دالة الاسترجاع
3876,retrieval model,نموذج الاسترجاع
3877,retrieval system,نظام الاسترجاع
3878,reverse-mode,وضع العكس
3879,reward,مكافأة
3880,reward function,دالة المكافأة
3881,reward model,نموذج المكافأة
3882,reward shaping,تشكيل المكافأة
3883,reward signal,إشارة المكافأة
3884,reward-maximizing policy,سياسة تعظيم المكافآت
3885,ridge regression,الانحدار بطريقة Ridge
3886,ridge regularization,تنظيم ريدج
3887,right-to-left model,نموذج من اليمين إلى اليسار
3888,rigid body transformation,تحويل الجسم الصلب
3889,rigid transformation,تحويل صلب
3890,risk minimization,تقليل المخاطر
3891,roberta-large,روبيرتا-كبير
3892,robotic,الروبوتية
3893,robotics,روبوتية
3894,robust optimization,التحسين القوي
3895,robust risk,المخاطر المتينة
3896,robustness,المتانة
3897,role assertion,تصريح الدور
3898,role atom,ذرة الدور
3899,role classification,تصنيف الدور
3900,role name,اسم الدور
3901,roll-out policy,سياسة التنفيذ
3902,rollout,طرح
3903,rollout length,طول التنفيذ
3904,root mean square error,جذر متوسط الخطأ التربيعي
3905,root node,عقدة الجذر
3906,rotation angle,زاوية الدوران
3907,rotation invariance,عدم التأثر بالدوران
3908,rotation matrix,مصفوفة الدوران
3909,row vector,متجه صف
3910,rule body,جسم القاعدة
3911,runtime complexity,تعقيد وقت التشغيل
3912,saddle-point problem,مشكلة نقطة السرج
3913,saliency,الأهمية
3914,saliency map,خريطة الأهمية
3915,sample complexity,تعقيد العينة
3916,sample complexity bound,حد تعقيد العينة
3917,sample covariance matrix,مصفوفة التغاير العينية
3918,sample efficiency,كفاءة العينة
3919,sample selection,اختيار العينة
3920,sample space,فضاء العينات
3921,sample variance,تباين العينة
3922,sample-efficient,كفاءة العينة
3923,sampler,أداة أخذ العينات
3924,sampling algorithm,خوارزمية أخذ العينات
3925,sampling-based inference,الاستدلال القائم على أخذ العينات
3926,satisfiability,قابلية الإشباع
3927,satisfiability problem,مشكلة قابلية الإشباع
3928,scalability,قابلية التوسع
3929,scalar,عدد قياسي
3930,scalar product,المنتج العددي
3931,scalarization,التحويل إلى كمية قياسية
3932,scale invariance,عدم التأثر بالمقياس
3933,scale parameter,معلمة المقياس
3934,scaled dot-product,المنتج النقطي المقياس
3935,scaled dot-product attention,الانتباه ذو الناتج النقطي المقيس
3936,scaling factor,عامل التحجيم
3937,scanning window detector,كاشف نافذة المسح
3938,scene category,فئة المشهد
3939,scene classification,تصنيف المشهد
3940,scene classifier,مُصنِّف المشهد
3941,scene flow,تدفق المشهد
3942,scene flow estimation,تقدير تدفق المشهد
3943,scene geometry,هندسة المشهد
3944,scene graph,رسم بياني للمشهد
3945,scene parsing,تحليل المشهد
3946,scene recognition,التعرف على المشهد
3947,scene reconstruction,إعادة بناء المشهد
3948,scene representation,تمثيل المشهد
3949,scene understanding,فهم المشهد
3950,scheduled sampling,أخذ العينات المجدولة
3951,scheduler,المجدول
3952,schema item,عنصر مخطط
3953,score function,دالة التقييم
3954,score matching,مطابقة النتيجة
3955,score vector,متجه الدرجات
3956,score-based model,النموذج القائم على الدرجات
3957,scoring function,دالة التهديف
3958,search algorithm,خوارزمية البحث
3959,search problem,مشكلة البحث
3960,search procedure,إجراءات البحث
3961,search space,فضاء البحث
3962,search tree,شجرة البحث
3963,second order,ترتيب ثانٍ
3964,second order statistic,الإحصاء من الدرجة الثانية
3965,second-order optimization,التحسين من الدرجة الثانية
3966,second-order potential,إمكانات من الدرجة الثانية
3967,segmentation,تجزئة
3968,segmentation algorithm,خوارزمية التقسيم
3969,segmentation map,خريطة التقطيع
3970,segmentation mask,قناع التجزئة
3971,selection bias,تحيز الاختيار
3972,selectional preference,التفضيل الانتقائي
3973,self-attention,الانتباه الذاتي
3974,self-attention head,رأس الانتباه الذاتي
3975,self-attention layer,طبقة الانتباه الذاتي
3976,self-attention matrix,مصفوفة الانتباه الذاتي
3977,self-attention mechanism,آلية الانتباه الذاتي
3978,self-attention model,نموذج الانتباه الذاتي
3979,self-attention module,وحدة الانتباه الذاتي
3980,self-learning,التعلم الذاتي
3981,self-loop,الحلقة الذاتية
3982,self-play,اللعب الذاتي
3983,self-supervised method,طريقة ذاتية الإشراف
3984,self-supervised model,النموذج الذاتي الإشراف
3985,self-supervised representation learning,تعلم التمثيلات ذاتية الإشراف
3986,self-supervised signal,إشارة ذات إشراف ذاتي
3987,self-supervised training,تدريب ذاتي الإشراف
3988,self-supervision,الإشراف الذاتي
3989,self-training,تدريب ذاتي
3990,semantic alignment,المواءمة الدلالية
3991,semantic analysis,التحليل الدلالي
3992,semantic annotation,التعليق التوضيحي الدلالي
3993,semantic category,فئة دلالية
3994,semantic class,صنف دلالي
3995,semantic constraint,القيود الدلالية
3996,semantic distance,المسافة الدلالية
3997,semantic encoder,المشفّر الدلالي
3998,semantic equivalence,التكافؤ الدلالي
3999,semantic feature,الميزة الدلالية
4000,semantic graph,الرسم البياني الدلالي
4001,semantic information,المعلومات الدلالية
4002,semantic interpretation,التفسير الدلالي
4003,semantic label,التسمية الدلالية
4004,semantic memory,الذاكرة الدلالية
4005,semantic model,النموذج الدلالي
4006,semantic network,الشبكة الدلالية
4007,semantic object,كائن دلالي
4008,semantic operator,المشغل الدلالي
4009,semantic parse,التحليل الدلالي
4010,semantic parser,المحلل الدلالي
4011,semantic priming,التهيئة الدلالية
4012,semantic relation,علاقة دلالية
4013,semantic representation,التمثيل الدلالي
4014,semantic role,الدور الدلالي
4015,semantic role label,تسمية الدور الدلالي
4016,semantic search,البحث الدلالي
4017,semantic segmentation,التجزئة الدلالية
4018,semantic similarity,التشابه الدلالي
4019,semantic similarity measure,مقياس التشابه الدلالي
4020,semantic space,الفضاء الدلالي
4021,semantic structure,البنية الدلالية
4022,semantic symbol,رمز دلالي
4023,semantic textual similarity,التشابه النصي الدلالي
4024,semantic unit,الوحدة الدلالية
4025,semantic vector,المتجه الدلالي
4026,semantic vector space,فضاء المتجهات الدلالية
4027,semi-Markov,نموذج نصف ماركوف
4028,semi-definite programming,برمجة شبه محددة
4029,semi-supervised clustering,التجميع شبه المُشرف
4030,semi-supervised learning,تعُّلم شبه موَّجه
4031,semi-supervision,شبه إشراف
4032,semidefinite program,البرنامج شبه المحدد
4033,sense disambiguation,تمييز المعنى
4034,sensitive attribute,السمة الحساسة
4035,sensitivity analysis,تحليل الحساسية
4036,sentence classification,تصنيف الجملة
4037,sentence compression,ضغط الجملة
4038,sentence embedding,تمثيل الجمل
4039,sentence encoder,مشفر الجملة
4040,sentence representation,تمثيل الجملة
4041,sentence segmentation,تجزئة الجمل
4042,sentence vector,متجه الجملة
4043,sentence-level,مستوى الجملة
4044,sentence-level classification,تصنيف على مستوى الجملة
4045,sentence-level representation,تمثيل على مستوى الجملة
4046,sentiment,شعور
4047,sentiment analysis,تحليل المشاعر
4048,sentiment analysis model,نموذج تحليل المشاعر
4049,sentiment classification,تصنيف الآراء
4050,sentiment classifier,مُصنف المشاعر
4051,sentiment detection,الكشف عن المشاعر
4052,sentiment transfer,تحويل المشاعر
4053,separation oracle,أوراكل الانفصال
4054,separation parameter,معامل الفصل
4055,separator token,رمز الفاصل
4056,seq2seq model,نموذج التسلسل إلى التسلسل
4057,sequence alignment,محاذاة التسلسل
4058,sequence classification,تصنيف التسلسل
4059,sequence database,قاعدة بيانات التسلسل
4060,sequence generation,توليد التسلسل
4061,sequence labeling,توسيم التسلسل
4062,sequence labeling model,نموذج توسيم التسلسلات
4063,sequence length,طول التسلسل
4064,sequence model,نموذج تسلسلي
4065,sequence prediction,التنبؤ بالتسلسل
4066,sequence tagging,توسيم التسلسل
4067,sequence transduction,تحويل التسلسل
4068,sequence-to-sequence,نمذجة التسلسل إلى التسلسل
4069,sequence-to-sequence architecture,بنية التسلسل إلى التسلسل
4070,sequence-to-sequence generation,توليد من تسلسل إلى تسلسل
4071,sequence-to-sequence model,نموذج تسلسل إلى تسلسل
4072,sequence-to-sequence models,مهمة تحويل تسلسل إلى تسلسل
4073,sequence-to-sequence transduction,تحويل تسلسل إلى تسلسل
4074,sequential datum,البيانات المتسلسلة
4075,sequential decision making,اتخاذ القرارات التسلسلية
4076,sequential decision-making process,عملية اتخاذ القرار المتسلسل
4077,sequential sampler,أخذ العينات متسلسل
4078,sequential tagging,الوسم المتسلسل
4079,set cover problem,مشكلة تغطية المجموعة
4080,set function,دالة المجموعة
4081,shallow network,شبكة ضحلة
4082,shape matching,مضاهاة الأشكال
4083,shape prior,قيد الشكل
4084,shift invariant,غير متغير مع الإزاحة
4085,shift reduce parser,محلل التحول والاختزال
4086,shortest path,أقصر مسار
4087,shortest path algorithm,خوارزمية المسار الأقصر
4088,shortest path kernel,نواة أقصر مسار
4089,shortest path length,طول أقصر مسار
4090,sibling model,نموذج الأشقاء
4091,sigmoid,دالة سيجمويد
4092,sigmoid activation,تفعيل سيجمويد
4093,sigmoid activation function,دالة التفعيل السينية
4094,sigmoid function,دالة سيجمويد
4095,signal-to-noise ratio,نسبة الإشارة إلى الضوضاء
4096,sim,التشابه
4097,similarity,تشابه
4098,similarity function,دالة التشابه
4099,similarity graph,رسم بياني للتشابه
4100,similarity matrix,مصفوفة التشابه
4101,similarity measure,مقياس التشابه
4102,similarity metric,مقياس التشابه
4103,similarity score,درجة التشابه
4104,similarity search,بحث التشابه
4105,simplicial complex,مجموعة سيمبليسية
4106,simulated annealing,التلدين المحاكى
4107,single task learning,التعلم أحادي المهمة
4108,single-label classification,التصنيف أحادي التسمية
4109,single-view data,بيانات عرض واحد
4110,singleton,عنصر مفرد
4111,singular value,القيمة المفردة
4112,singular value decomposition,تحليل القيم المفردة
4113,singular vector,المتجه المفرد
4114,skip connection,اتصال تخطي
4115,skip-gram,تخطي جرام
4116,skip-gram model,نموذج تخطي-جرام
4117,slack variable,متغير التراخي
4118,sliding window,النافذة المنزلقة
4119,sliding window classifier,مصنف النافذة المنزلقة
4120,slot,خانة
4121,slot filling,ملء الخانات
4122,slot value,قيمة الحقل
4123,slot-value pair,زوج الفتحة والقيمة
4124,smoothing parameter,معلمة التنعيم
4125,smoothness term,مصطلح التنعيم
4126,social bias,التحيز الاجتماعي
4127,social network analysis,تحليل الشبكات الاجتماعية
4128,soft margin,الهامش اللين
4129,softmax,softmax
4130,softmax activation,تفعيل السوفتماكس
4131,softmax activation function,دالة تفعيل السوفتماكس
4132,softmax classifier,مصنف السوفتماكس
4133,softmax distribution,توزيع سوفتماكس
4134,softmax function,دالة سوفتماكس
4135,softmax loss,خسارة سوفتماكس
4136,softplus,سوفتمبلاس
4137,softplus activation,تفعيل سوفتبلس
4138,softplus function,دالة سوفت بلس
4139,solution space,فضاء الحل
4140,solver,الحلّال
4141,source,مصدر
4142,source domain,مجال المصدر
4143,source model,نموذج المصدر
4144,source node,عقدة المصدر
4145,source sequence,تسلسل المصدر
4146,source token,توكن المصدر
4147,source word,كلمة المصدر
4148,space carving,نحت الفضاء
4149,space complexity,تعقيد الذاكرة
4150,space partitioning,تقسيم الفضاء
4151,spam detection,كشف البريد العشوائي
4152,spam filtering,تصفية البريد العشوائي
4153,span,المجال
4154,sparse,متناثر
4155,sparse approximation,التقريب المتناثر
4156,sparse attention,الاهتمام المتناثر
4157,sparse attention pattern,نمط الانتباه المتناثر
4158,sparse feature,خاصية متناثرة
4159,sparse graph,رسم بياني متفرق
4160,sparse matrix,المصفوفة المتناثرة
4161,sparse model,النموذج المتناثر
4162,sparse recovery,الاسترداد المتناثر
4163,sparse representation,تمثيل متناثر
4164,sparse sampling,أخذ العينات المتناثر
4165,sparse vector,متجه متناثر
4166,sparsification,التخفيف المتناثر
4167,sparsity,الندرة
4168,sparsity level,مستوى الندرة
4169,sparsity regularization,تنظيم الندرة
4170,spatial domain,المجال المكاني
4171,spatial gradient,التدرج المكاني
4172,spatial pooling,تجميع مكاني
4173,spatial pyramid,الهرم المكاني
4174,spatial-temporal reasoning,استدلال مكاني-زماني
4175,special token,رمز خاص
4176,spectral algorithm,الخوارزمية الطيفية
4177,spectral clustering,التجميع الطيفي
4178,spectral decomposition,التحلل الطيفي
4179,spectral embedding,التضمين الطيفي
4180,spectral gap,الفجوة الطيفية
4181,spectral learning,التعلم الطيفي
4182,spectral matching,المطابقة الطيفية
4183,spectral method,الطريقة الطيفية
4184,spectral norm,المعيار الطيفي
4185,spectral property,الخاصية الطيفية
4186,spectrogram,المخطط الطيفي
4187,speech,الكلام
4188,speech recognition,التعرف على الكلام
4189,speech recognizer,مُتعرف على الكلام
4190,speech synthesis model,نموذج توليف الكلام
4191,speech synthesizer,جهاز تركيب الكلام
4192,spoken dialogue system,نظام الحوار المنطوق
4193,spurious correlation,الارتباط الزائف
4194,squared Euclidean distance,المسافة الإقليدية التربيعية
4195,squared error loss,خسارة الخطأ التربيعي
4196,stable model,النموذج المستقر
4197,stable model semantic,الدلالات النموذجية المستقرة
4198,stance detection,الكشف عن الموقف
4199,standard normal distribution,التوزيع الطبيعي القياسي
4200,start token,رمز البدء
4201,state,حالة
4202,state action pair,زوج الحالة والإجراء
4203,state distribution,توزيع الحالة
4204,state estimation,تقدير الحالة
4205,state machine,آلة الحالة
4206,state matrix,مصفوفة الحالة
4207,state of the art algorithm,خوارزمية أحدث ما توصلت إليه التكنولوجيا
4208,state representation,تمثيل الحالة
4209,state sequence,تسلسل الحالة
4210,state space,فضاء الحالة
4211,state trajectory,مسار الحالة
4212,state transition,انتقال الحالة
4213,state transition function,دالة انتقال الحالة
4214,state transition matrix,مصفوفة انتقال الحالة
4215,state transition model,نموذج انتقال الحالة
4216,state transition probability,احتمال الانتقال بين الحالات
4217,state value function,دالة قيمة الحالة
4218,state variable,متغير الحالة
4219,state vector,متجه الحالة
4220,state-action distribution,توزيع الحالة-الإجراء
4221,state-action space,فضاء الحالة-الإجراء
4222,state-action value,قيمة الحالة-الإجراء
4223,state-action value function,دالة قيمة الحالة-الإجراء
4224,state-of-the-art baseline,الأساس المعياري الرائد
4225,state-of-the-art method,الطريقة الرائدة في المجال
4226,state-of-the-art model,نموذج على أحدث طراز
4227,state-of-the-art system,نظام على أحدث طراز
4228,static analysis,التحليل الثابت
4229,stationarity,الاستقرارية
4230,stationary distribution,التوزيع المستقر
4231,stationary kernel,النواة الثابتة
4232,stationary policy,السياسة الثابتة
4233,statistical analysis,تحليل إحصائي
4234,statistical independence,الاستقلال الإحصائي
4235,statistical learning,التعلم الإحصائي
4236,statistical learning algorithm,خوارزمية التعلم الإحصائي
4237,statistical learning theory,نظرية التعلم الإحصائي
4238,statistical machine translation system,نظام الترجمة الآلية الإحصائي
4239,statistical measure,مقياس إحصائي
4240,statistical model,نموذج إحصائي
4241,statistical translation model,نموذج الترجمة الإحصائي
4242,steepest descent,الانحدار الأشد
4243,steerable filter,مرشح قابل للتوجيه
4244,stemmer,الجذر اللغوي
4245,stereo algorithm,خوارزمية الرؤية المجسمة
4246,stereo benchmark,معيار الاستريو
4247,stereo disparity,التفاوت المجسم
4248,stereo image,الصورة المجسمة
4249,stereo matching,المطابقة الاستريو
4250,stereo pair,الزوج المجسم
4251,stereo reconstruction,إعادة بناء الاستيريو
4252,stereo vision,الرؤية المجسمة
4253,stochastic algorithm,الخوارزمية العشوائية
4254,stochastic approximation,التقريب العشوائي
4255,stochastic depth,العمق العشوائي
4256,stochastic differential equation,معادلة تفاضلية عشوائية
4257,stochastic dynamic,الديناميكا العشوائية
4258,stochastic environment,بيئة عشوائية
4259,stochastic game,اللعبة العشوائية
4260,stochastic gradient,التدرج العشوائي
4261,stochastic gradient algorithm,خوارزمية التدرج العشوائي
4262,stochastic gradient ascent,صعود التدرج العشوائي
4263,stochastic gradient descent,الهبوط التدرج العشوائي
4264,stochastic gradient method,طريقة التدرج العشوائي
4265,stochastic grammar,القواعد النحوية العشوائية
4266,stochastic matrix,مصفوفة احتمالية
4267,stochastic model,نموذج عشوائي
4268,stochastic objective,الهدف العشوائي
4269,stochastic optimization,الأمثلية العشوائية
4270,stochastic policy,سياسة عشوائية
4271,stochastic process,عملية عشوائية
4272,stochastic sampling,أخذ العينات العشوائية
4273,stochastic search algorithm,خوارزمية البحث العشوائي
4274,stochastic subgradient descent,النزول العشوائي بالمشتق الفرعي
4275,stochastic transition matrix,مصفوفة الانتقال العشوائية
4276,stochastic variational inference,الاستدلال التبايني العشوائي
4277,stochasticity,العشوائية
4278,stop word,كلمات توقف
4279,stop-gradient,إيقاف التدرج
4280,stop-gradient operation,عملية توقف التدرج
4281,stopping condition,شرط التوقف
4282,stopping criterion,معيار الإيقاف
4283,stratified sampling,أخذ العينات الطبقي
4284,streaming algorithm,الخوارزمية المتدفقة
4285,streaming datum,البيانات المتدفقة
4286,streaming model,النموذج المتدفق
4287,stride,خطوة
4288,string kernel metric,متري نواة السلسلة
4289,structural learning,التعلم البنيوي
4290,structural risk minimization,تقليل المخاطر الهيكلية
4291,structure,بنية
4292,structure learning,تعلم البنية
4293,structured datum,البيانات المهيكلة
4294,structured output,الإخراج المهيكل
4295,structured perceptron,بيرسيبترون مُنَظَّم
4296,structured prediction,التنبؤ المهيكل
4297,structured prediction model,نموذج التنبؤ الهيكلي
4298,structured prediction problem,مشكلة التنبؤ الهيكلي
4299,structured support vector machine,آلة المتجهات الداعمة المهيكلة
4300,student model,نموذج الطالب
4301,style transfer,نقل النمط
4302,sub-gradient,التدرج الفرعي
4303,sub-gradient descent,هبوط التدرج الفرعي
4304,sub-networks,الشبكات الفرعية
4305,sub-population,السكان الفرعيون
4306,sub-word,كلمة فرعية
4307,sub-word tokenization,ترميز الكلمات الفرعية
4308,subgame,اللعبة الفرعية
4309,subgradient method,طريقة التدرج الفرعي
4310,subgraph isomorphism,تطابق الرسم البياني الفرعي
4311,subgraph selection,اختيار الرسم البياني الفرعي
4312,submatrice,المصفوفة الفرعية
4313,submatrix,المصفوفة الفرعية
4314,submodular,غير شبه تآزري
4315,submodular function,دالة دون نمطية
4316,submodular function optimization,تحسين دالة دون نمطية
4317,submodular influence function,وظيفة التأثير تحت المعيارية
4318,submodular optimization,تحسين شبه معياري
4319,submodular polyhedron,متعدد السطوح تحت الوحدات
4320,submodular set function,دالة مجموعة شبه معيارية
4321,subnetwork,شبكة فرعية
4322,suboptimal,دون المستوى الأمثل
4323,subpixel,بكسل فرعي
4324,subsample,عينة فرعية
4325,subsampling factor,عامل أخذ العينات الفرعية
4326,subspace learning,تعلم الفضاء الفرعي
4327,subspace method,طريقة الفضاءات الفرعية
4328,subspace projection,إسقاط الفضاء الفرعي
4329,substitution,الاستبدال
4330,subsumption,الاحتواء
4331,subsumption relation,علاقة التضمين
4332,subtree,شجرة فرعية
4333,subwindow,النافذة الفرعية
4334,subword,الكلمات الفرعية
4335,subword token,رمز الكلمة الفرعية
4336,subword unit,وحدة الكلمة الفرعية
4337,successor function,دالة الخلف
4338,successor state,حالة الخلف
4339,successor state axiom,بديهية حالة الخلف
4340,sufficient statistic,إحصائية كافية
