,English,French
4970,pre-processing,prétraitement
4971,pre-terminals,pré-terminaux
4972,pre-train,pré-entraînement
4973,pre-trained checkpoint,point de contrôle pré-entraîné
4974,pre-trained embedding,embeddings pré-entraînés
4975,pre-trained language model,modèle de langage pré-entraîné
4976,pre-trained model,modèle préentraîné
4977,pre-trained parameter,paramètre pré-entraîné
4978,pre-trained weight,poids pré-entraîné
4979,pre-training corpus,corpus de pré-entraînement
4980,pre-training datum,donnée de pré-entraînement
4981,pre-training objective,objectif de pré-entraînement
4982,pre-training task,tâche de pré-entraînement
4983,precision,précision
4984,precision matrix,matrice de précision
4985,precision-at-10,précision à 10
4986,precision-recall curve,courbe de précision-rappel
4987,precision-recall graph,graphique de précision-rappel
4988,precondition,précondition
4989,preconditioner,préconditionneur
4990,predicate,prédicat
4991,predicate logic,logique des prédicats
4992,predicate operator,opérateur de prédicat
4993,predicate symbol,symbole de prédicat
4994,predicate-argument relation,relation prédicat-argument
4995,predicate-argument structure,structure prédicat-argument
4996,predicates,prédicat
4997,prediction,prédiction
4998,prediction accuracy,précision de prédiction
4999,prediction bias,biais de prédiction
5000,prediction entropy,entropie de prédiction
5001,prediction error,erreur de prédiction
5002,prediction error plot,diagramme d'erreurs de prédiction
5003,prediction head,tête de prédiction
5004,prediction invariance,invariance de prédiction
5005,prediction model,modèle de prédiction
5006,prediction network,réseau de prédiction
5007,prediction variance,variance de prédiction
5008,predictive algorithm,algorithme prédictif
5009,predictive analytics,analyse prédictive
5010,predictive analyzer,analyseur prédictif
5011,predictive coding,codage prédictif
5012,predictive distribution,distribution prédictive
5013,predictive likelihood,vraisemblance prédictive
5014,predictive model,modèle prédictif
5015,predictive performance,performance prédictive
5016,predictive search,recherche prédictive
5017,predictive sparse decomposition,décomposition parcimonieuse prévisionnelle
5018,predictor,prédicteur
5019,preference relation,relation de préférence
5020,prefix,préfixe
5021,prefix sum,somme préfixe
5022,prefix tree,arbre de préfixes
5023,preimage,préimage
5024,prenex normal form,forme normale prénexe
5025,prepositional phrase,phrase prépositionnelle
5026,preprocessing phase,phase de prétraitement
5027,prescriptive analytics,analyse prescriptive
5028,presence penalty,pénalité de présence
5029,pretrained,pré-formation
5030,pretrained multilingual model,modèle multilingue préentraîné
5031,pretraining,pré-entraînement
5032,previous,antérieur
5033,primal objective function,fonction objective primale
5034,primal optimization,optimisation primal
5035,primal problem,problème primal
5036,primal variable,variable primale
5037,primal-dual algorithm,algorithme primal-dual
5038,primal-dual method,méthode primal-dual
5039,primality test,test de primalité
5040,primitive,primitive
5041,primitive action,action primitive
5042,principal component,composante principale
5043,principal component analysis,analyse en composantes principales
5044,principal component plot,diagramme des composantes principales
5045,principal component regression,régression sur composantes principales
5046,principle of least squares,principe des moindres carrés
5047,principle of maximum entropy,principe d'entropie maximale
5048,prior belief,croyance antérieure
5049,prior distribution,distribution a priori
5050,prior hyperparameter,hyperparamètre a priori
5051,prior knowledge,connaissance a priori
5052,prior mean,moyenne a priori
5053,prior probability,probabilité a priori
5054,prior probability distribution,distribution de probabilité a priori
5055,prior variance,variance a priori
5056,priority queue,file de priorité
5057,privacy budget,budget de confidentialité
5058,privacy-preserving data mining,fouille de données préservant la confidentialité
5059,probabilistic causation,causalité probabiliste
5060,probabilistic clustering,groupement probabiliste
5061,probabilistic context-free grammar,grammaire contextuelle probabiliste
5062,probabilistic distribution,distribution probabiliste
5063,probabilistic formulation,formulation probabiliste
5064,probabilistic framework,cadre probabiliste
5065,probabilistic generative model,modèle génératif probabiliste
5066,probabilistic graphical model,modèle graphique probabiliste
5067,probabilistic inference,inférence probabiliste
5068,probabilistic logic,logique probabiliste
5069,probabilistic method,méthode probabiliste
5070,probabilistic model,modèle probabiliste
5071,probabilistic programming,programmation probabiliste
5072,probabilistic programming language,langage de programmation probabiliste
5073,probabilistic relational model,modèle relationnel probabiliste
5074,probabilistic representation,représentation probabiliste
5075,probabilistic semantic,sémantique probabiliste
5076,probabilistic topic modeling,modélisation thématique probabiliste
5077,probabilistic tree,arbre probabiliste
5078,probabilities,probabilités
5079,probability density,densité de probabilité
5080,probability density function,densité de probabilité
5081,probability distribution,distribution de probabilité
5082,probability flow,flux de probabilité
5083,probability interpretation,interprétation de la probabilité
5084,probability kernel,noyau de probabilité
5085,probability map,carte de probabilité
5086,probability mass,masse de probabilité
5087,probability mass function,fonction de masse de probabilité
5088,probability matrix,matrice de probabilité
5089,probability measure,mesure de probabilité
5090,probability model,modèle de probabilité
5091,probability multiset,multiensemble de probabilités
5092,probability sampling,prélèvement probabiliste
5093,probability simplex,simplexe de probabilité
5094,probability space,espace de probabilité
5095,probability theory,théorie des probabilités
5096,probability threshold,seuil de probabilité
5097,probability transition matrix,matrice de transition de probabilité
5098,probability vector,vecteur de probabilité
5099,probing classifier,classificateur d'interrogation
5100,probit model,modèle probit
5101,problem,problèmes
5102,problem reduction,réduction de problème
5103,problem reduction method,décomposition de problème
5104,problem solving,résolution de problèmes
5105,problem space,espace de problème
5106,procedural reasoning systems,systèmes de raisonnement procédural
5107,procedural representation,représentation procédurale
5108,procedural semantics,sémantique procédurale
5109,product distribution,distribution de produit
5110,product moment,moment-produit
5111,product-of-expert,produit des experts
5112,production rule representation,représentation par règles de production
5113,program induction,induction de programmes
5114,programming language,langage de programmation
5115,projection algorithm,algorithme de projection
5116,projection layer,couche de projection
5117,projection matrix,matrice de projection
5118,projection operator,opérateur de projection
5119,projection step,étape de projection
5120,projective camera,caméra projective
5121,projective dependency parsing,analyse de dépendance projective
5122,projective dependency tree,arbre de dépendance projectif
5123,projective parsing,analyse projective
5124,projective transformation,transformation projective
5125,prompt,invite
5126,prompt aligned personalization,PALP
5127,prompt chaining,enchaînement de requêtes
5128,prompt engineer,ingénieur de requêtes
5129,prompt engineering,ingénierie de requêtes
5130,prompt learning,apprentissage par invite
5131,prompt tuning,tuning de prompt
5132,pronoun resolution,résolution des pronoms
5133,pronouns,pronoms
5134,proof complexity,complexité de preuve
5135,proof number,nombre de preuve
5136,proof tree,arbre de preuve
5137,propensity score,score de propension
5138,proportional allocation,affectation proportionnelle
5139,proportional hazards model,modèle à taux de défaillance proportionnels
5140,proportional sampling,répartition proportionnelle de l'échantillon
5141,proposal distribution,distribution de proposition
5142,proposal probability,probabilité de proposition
5143,propose,proposé
5144,propositional,propositionnel
5145,propositional calculus,calcul des propositions
5146,propositional database,base de données propositionnelle
5147,propositional formula,formule propositionnelle
5148,propositional language,langage propositionnel
5149,propositional learning systems,système d'apprentissage propositionnel
5150,propositional logic,logique des propositions
5151,propositional variable,variable propositionnelle
5152,protected attribute,attribut protégé
5153,protein folding,repliement des protéines
5154,prototype embedding,intégration de prototype
5155,proximal operator,opérateur proximal
5157,pruning,élagage
5158,pruning algorithm,algorithme d'élagage
5159,pseudo,pseudo
5160,pseudo-inverse,pseudo-inverse
5161,pseudo-random numbers,nombres pseudo-aléatoires
5162,pseudonymisation,pseudonymisation
5163,public data,données publiques
5164,public-key cryptography,cryptographie par clé publique
5165,pulse-coupled neural networks,réseaux à couplage d'impulsions
5166,pure strategy,stratégie pure
5167,pyramid level,niveau de pyramide
5168,quadratic assignment problem,problème d'affectation quadratique
5169,quadratic classifier,classificateur quadratique
5170,quadratic loss,perte quadratique
5171,quadratic program,programme quadratique
5172,quadratic regularizer,régularisateur quadratique
5173,quadratic unconstrained binary optimization,optimisation binaire quadratique sans contrainte
5174,qualitative,qualitative
5175,qualitative simulation,simulation qualitative
5176,quality,qualité
5177,quantal response equilibrium,équilibre de réponse quantale
5178,quantified variable,variable quantifiée
5179,quantifier,quantificateur
5180,quantile,quantile
5181,quantitative data,données quantitatives
5182,quantization,quantification
5183,quantization function,fonction de quantification
5184,quantized low-rank adaptation,adaptation par modèle auxiliaire quantifiée
5185,quantizer,quantificateur
5186,quantum coherence,cohérence quantique
5187,quantum cryptography,cryptographie quantique
5188,quantum dot,point quantique
5189,quantum encryption,chiffrement quantique
5190,quantum entanglement,enchevêtrement quantique
5191,quantum phase estimation algorithm,algorithme d'estimation de phase quantique
5192,quasi-Newton method,méthode quasi-Newton
5193,quaternion,quaternion
5194,qubit,bit quantique
5195,queries,requêtes
5196,query,requête
5197,query answering,réponse à une requête
5198,query complexity,complexité de la requête
5199,query context,contexte de la requête
5200,query embedding,embedding de requête
5201,query image,image de requête
5202,query language,langage de requête
5203,query phase,phase de requête
5204,query point,point de requête
5205,query processing,traitement des requêtes
5206,query reformulation,reformulation de requête
5207,query representation,représentation de requête
5208,query strategy,stratégie de requête
5209,query time,temps de requête
5210,query vector,vecteur de requête
5211,query-document pair,paire requête-document
5212,query-level feature,attribut de requête
5213,query-likelihood model,modèle de vraisemblance de requête
5214,question,question
5216,question answering system,question answering
5217,questions,questions
5218,queue,file d'attente
5219,quickprop,quickprop
5220,quicksort,tri rapide
5221,quota sampling,échantillonnage par la méthode des quotas
5222,radial basis function,fonction de base radiale
5223,radial basis function network,réseau de neurones à fonction de base radiale
5224,radial basis neuronal network,réseaux neuronaux à base radiale
5225,radiance field,champ de radiance
5226,random,aléatoire
5227,random crop,recadrage aléatoire
5228,random feature,caractéristique aléatoire
5229,random forest,ensemble d’arbres aléatoire
5230,random matrix,matrice aléatoire
5231,random matrix theory,théorie des matrices aléatoires
5232,random number generator,générateur de nombres aléatoires
5233,random optimisation,optimisation aléatoire
5234,random over-sampling,sur-échantillonnage aléatoire
5235,random policy,politique aléatoire
5236,random processes with discrete time,processus aléatoires à temps discret
5237,random projection,projection aléatoire
5238,random projection algorithm,algorithme de projection aléatoire
5239,random sample,échantillon probabiliste
5240,random sampling,échantillonnage aléatoire
5241,random sampling error,erreur d'échantillonnage aléatoire
5242,random seed,graine aléatoire
5243,random selection,choix au hasard
5244,random under-sampling,sous-échantillonnage aléatoire
5245,random variable,variable stochastique
5246,random vector,vecteur aléatoire
5247,random walk,parcours aléatoire
5248,random walk model,modèle de marche aléatoire
5249,randomization,hasardisation
5250,randomization tests,test de randomisation
5251,randomized algorithm,algorithme aléatoire
5252,randomized smoothing,lissage aléatoire
5253,randomized weighted majority algorithm,algorithme de majorité pondérée randomisée
5254,range query,requête de plage
5255,rank,rang
5256,rank of a matrix,rang d'une matrice
5257,rank-one update,mise à jour de rang un
5258,ranking algorithm,algorithme de classement
5259,ranking function,fonction de classement
5260,ranking model,modèle de classement
5261,rater,évaluateur
5262,raw data,données brutes
5263,raw score,score brut
5264,rawdata,donnée brute
5265,re,RE
5266,reachable state,état atteignable
5267,reactive agent,agent réactif
5268,readout function,fonction de lecture
5269,real-time analysis,analyse en temps réel
5270,real-time analytics,analytique en temps réel
5271,real-time data,données en temps réel
5272,real-time data analytics,analyse des données en temps réel
5273,reasoning,raisonnement
5274,reasoning system,système de raisonnement
5275,reasoning under uncertainty,raisonnement sous incertitude
5276,recall,rappel
5277,receptive field,champ réceptif
5278,recognition,reconnaissance
5279,recognition model,modèle de reconnaissance
5280,recognizer,reconnaisseur
5281,recommendation algorithm,algorithme de recommandation
5282,recommendation model,modèle de recommandation
5283,recommendation system,système de recommandation
5284,recommender,recommandeur
5285,recommender system,système de recommandations
5286,reconstruction algorithm,algorithme de reconstruction
5287,reconstruction error,erreur de reconstruction
5288,reconstruction loss,perte de reconstruction
5289,recovery algorithm,algorithme de récupération
5290,rectified linear unit,unité de rectification linéaire
5291,rectified stereo pair,paire stéréo rectifiée
5292,recurrent,récurrent
5293,recurrent architecture,architecture récurrente
5294,recurrent autoencoder,autoencodeur récurrent
5295,recurrent connection,connexion récurrente
5296,recurrent dynamic,dynamique récurrente
5297,recurrent encoder-decoder,réseau de neurones récurrent encodeur-décodeur
5298,recurrent model,modèle récurrent
5299,recurrent network,réseau récurrent
5300,recurrent neural network,réseau de neurones récurrent
5301,recurrent state,état récurrent
5302,recursion,récursion
5303,recursive call,appel récursif
5304,recursive loop,boucle récursive
5305,recursive neural model,modèle neuronal récursif
5306,recursive neural network,réseau de neurones récursif
5307,reference data,données de référence
5308,reference distribution,distribution de référence
5309,reference resolution,résolution de référence
5310,reference text,texte de référence
5311,reference-based metric,métrique basée sur la référence
5312,referential ambiguity,ambiguïté référentielle
5313,refinement network,réseau de raffinement
5314,refutation completeness,complétude de réfutation
5315,region connection calculus,calcul des connexions entre régions
5316,regression,régression
5317,regression analysis,analyse de régression
5318,regression coefficient,coefficient de régression
5319,regression estimate,estimation par la méthode de régression
5320,regression function,fonction de régression
5321,regression model,modèle de régression
5322,regression problem,problème de régression
5323,regression task,tâche de régression
5324,regression testing,revérification
5325,regression tree,arbre de régression
5326,regret bound,borne de regret
5327,regret matching,correspondance de regret
5328,regret minimization,minimisation du regret
5329,regret minimization algorithm,algorithme de minimisation du regret
5330,regret minimizer,minimiseur de regret
5331,regular expression,expression rationnelle
5332,regularisation,régularisation
5333,regularization,régularisation
5334,regularization constant,constante de régularisation
5335,regularization function,fonction de régularisation
5336,regularization loss,perte de régularisation
5337,regularization parameter,paramètre de régularisation
5338,regularization path,chemin de régularisation
5339,regularization penalty,pénalité de régularisation
5340,regularization rate,taux de régularisation
5341,regularization strength,force de régularisation
5342,regularization term,terme de régularisation
5343,regularization weight,poids de régularisation
5344,regularization-based method,méthode basée sur la régularisation
5345,regularizer,régularisateur
5346,reinforcement learning,apprentissage par renforcement
5347,reinforcement learning algorithm,algorithme d'apprentissage par renforcement
5348,reinforcement learning from human feedback,apprentissage par renforcement avec rétroaction humaine
5349,reinforcement learning with the upper confidence bound,apprentissage par renforcement avec borne de confiance supérieure
5350,rejection criterion,critère de rejet
5351,rejection region,région critique
5352,rejection sampling,méthode de rejet
5353,relation,relation
5354,relation extraction,extraction de relations
5355,relation type,type de relation
5356,relational database,base de données relationnelle
5357,relational model,modèle relationnel
5358,relational tuple,tuple relationnel
5359,relations,relations
5360,relative entropy,entropie relative
5361,relative frequency,proportion
5362,relative positional embedding,embedding positionnel relatif
5363,relevance score,score de pertinence
5364,relevance vector machine,machine à vecteur de pertinence
5365,reliability,fiabilité
5366,rendering network,réseau de rendu
5367,renormalization,renormalisation
5368,reparameterization,reparamétrisation
5369,reparameterization trick,astuce de reparamétrisation
5370,replay buffer,mémoire tampon de replay
5371,replay memory,mémoire de replay
5372,reporting,rapportage
5373,representation,représentation
5374,representation fine-tuning,peaufinage de l'espace latent
5375,representation hypothesis,hypothèse de représentation
5376,representation learning,apprentissage de représentations
5377,representation matrix,matrice de représentation
5378,representation space,espace de représentation
5379,representation vector,vecteur de représentation
5380,representational capacity,capacité de représentation
5381,representations,représentations
5382,representer theorem,théorème de représentation
5383,reproducing kernel Hilbert space,espace de Hilbert à noyau reproduisant
5384,reproducing property,propriété de reproduction
5385,reprojection,reprojection
5386,reprojection error,erreur de reprojection
5387,reranker,reranker
5388,reranking model,modèle de reranking
5389,reranking parser,analyseur de reranking
5390,research,recherches
5391,reservoir sampling,échantillonnage par réservoir
5392,residual,résidus
5393,residual block,bloc résiduel
5394,residual branch,branche résiduelle
5395,residual connection,connexion résiduelle
5396,residual error,erreur résiduelle
5397,residual function,fonction résiduelle
5398,residual graph,graphe résiduel
5399,residual learning,apprentissage résiduel
5400,residual network,réseau résiduel
5401,residual sum of squares,somme des carrés des résidus
5402,residual variance,variance des résidus
5403,residual vector quantization,quantificateur vectoriel résiduel
5404,resolution,résolution
5405,resolvent,résolvante
5406,resource description framework,cadre de description des ressources
5407,resources,ressources
5408,response generation,génération de réponses
5409,responsible AI,IA responsable
5410,responsible machine learning,apprentissage automatique responsable
5411,restricted Boltzmann machine,machine de Boltzmann restreinte
5412,restricted isometry property,propriété d'isométrie restreinte
5413,retrieval,récupération
5414,retrieval augmented generation,génération augmentée d'information applicative
5415,retrieval function,fonction de récupération
5416,retrieval method,méthode de récupération
5417,retrieval model,modèle de récupération
5418,retrieval system,système de récupération
5419,retrieval-augmented language model,modèle linguistique amélioré par la recherche
5420,retrieved,récupérés
5421,reverse-mode,mode inverse
5422,reward,récompenser
5423,reward function,fonction de récompense
5424,reward model,modèle de récompense
5425,reward shaping,modelage de la récompense
5426,reward signal,signal de récompense
5427,reward-maximizing policy,politique de maximisation de la récompense
5428,rewrite rule,règle de récriture
5429,rhetorical relations,relations rhétoriques
5430,rich data,données riches
5431,ridge regression,régression de crête
5432,ridge regularization,régularisation de Ridge
5433,right-to-left model,modèle de droite à gauche
5434,rigid body transformation,transformation rigide
5435,rigid transformation,transformation rigide
5436,ripple-down rules,règle par vagues descendantes
5437,risk,risque
5438,risk analysis,analyse de risque
5439,risk assessment,analyse de risques
5440,risk minimization,minimisation du risque
5441,roberta-large,roberta-large
5442,robot,robot
5443,robot learning,apprentissage automatique en robotique
5444,robot swarm,essaim de robots
5445,robotic,robotique
5446,robotic process automation,automatisation des processus robotiques
5447,robotics,robotique
5448,robust optimization,optimisation robuste
5449,robust risk,risque robuste
5450,robustness,robustesse
5451,role assertion,assertion de rôle
5452,role atom,atome de rôle
5453,role classification,classification de rôle
5454,role name,nom de rôle
5455,roll-out policy,politique de déploiement
5456,rollout,déploiement
5457,rollout length,longueur de simulation
5458,rollup,forage ascendant
5459,root mean square,valeur quadratique moyenne
5460,root mean square error,erreur quadratique moyenne
5461,root mean squared error,racine carrée de l'erreur quadratique moyenne
5462,root node,nœud racine
5463,root-cause analysis,analyse des causes fondamentales
5464,rotation angle,angle de rotation
5465,rotation invariance,invariance de rotation
5466,rotation matrix,matrice de rotation
5467,rotational invariance,invariance de rotation
5468,row echelon form,matrice échelonnée
5469,row vector,vecteur ligne
5470,rule body,corps de règle
5471,rule engine,moteur de règles
5472,rule memory,mémoire de règles
5473,rule-based machine learning,apprentissage automatique à base de règles
5474,rule-based system,système de règles de production
5475,runtime complexity,complexité temporelle
5477,saddle point,point de selle
5478,saddle-point problem,problème de point selle
5479,saliency,saillance
5480,saliency map,carte de saillance
5481,sample complexity,complexité d'échantillonnage
5482,sample complexity bound,borne de complexité d'échantillonnage
5483,sample covariance matrix,matrice de covariance d'échantillon
5484,sample efficiency,efficacité d'échantillonnage
5485,sample mean,moyenne d'échantillon
5486,sample selection,sélection d'échantillons
5487,sample size,effectif d'échantillon
5488,sample space,espace d'échantillon
5489,sample unit,unité-échantillon
5490,sample variance,variance de l'échantillon
5491,sample-efficient,économe en échantillons
5492,sampler,échantillonneur
5493,sampling,échantillonnage
5494,sampling algorithm,algorithme d’échantillonnage
5495,sampling design,plan de sondage
5496,sampling fraction,fraction d'échantillonnage
5497,sampling probability,probabilité d'échantillonnage
5498,sampling ratio,rapport d'échantillonnage
5499,sampling with replacement,sondage avec remise
5500,sampling-based inference,inférence basée sur l'échantillonnage
5501,satisfiability,satisfaisabilité
5502,satisfiability problem,problème de satisfaisabilité
5503,scalability,extensibilité
5504,scalable,échelonnable
5505,scalar,scalaire
5506,scalar product,produit scalaire
5507,scalarization,scalarisation
5508,scale invariance,invariance à l'échelle
5509,scale parameter,paramètre d'étalement
5510,scale-space,espace d'échelle
5511,scaled dot-product,produit scalaire mis à l'échelle
5512,scaled dot-product attention,attention par produit scalaire
5513,scaling,mise à l'échelle
5514,scaling factor,facteur d'échelle
5515,scanning window detector,détecteur à fenêtre de balayage
5516,scatter plot,diagramme de dispersion
5517,scene category,catégorie de scène
5518,scene classification,classification de scène
5519,scene classifier,classificateur de scène
5520,scene flow,flux de scène
5521,scene flow estimation,estimation du flux de scène
5522,scene geometry,géométrie de scène
5523,scene graph,graphe de scène
5524,scene parsing,analyse de scène
5525,scene recognition,reconnaissance de scène
5526,scene reconstruction,reconstruction de scène
5527,scene representation,représentation de scène
5528,scene understanding,compréhension de scène
5529,scheduled sampling,échantillonnage programmé
5530,scheduler,planificateur
5531,schema item,élément de schéma
5533,score,score
5534,score function,fonction de score
5535,score matching,ajustement de score
5536,score vector,vecteur de scores
5537,score-based model,modèle basé sur les scores
5538,scoring,notation
5539,scoring function,fonction de score
5540,search,cherche
5541,search algorithm,algorithme de recherche
5542,search problem,problème de recherche
5543,search procedure,procédure de recherche
5544,search robot,robot de recherche
5545,search space,espace de recherche
5546,search tree,arbre de recherche
5547,second order,deuxième ordre
5548,second order statistic,statistique d'ordre deux
5549,second-order optimization,optimisation du second ordre
5550,second-order potential,potentiel de second ordre
5551,security vulnerability,faille de sécurité informatique
5552,segmentation,segmentation
5553,segmentation algorithm,algorithme de segmentation
5554,segmentation analysis,analyse par segmentation
5555,segmentation map,carte de segmentation
5556,segmentation mask,masque de segmentation
5557,selection bias,biais de sélection
5558,selectional preference,préférence de sélection
5559,self organizing maps,carte auto adaptative
5560,self-adaptive robust attention,SARA-RT
832,self-attention,Auto-attention
5561,self-attention head,tête d'auto-attention
5562,self-attention layer,couche d'auto-attention
5563,self-attention matrix,matrice d'auto-attention
5564,self-attention mechanism,mécanisme d'auto-attention
5565,self-attention model,modèle d'auto-attention
5566,self-attention module,module d'auto-attention
5567,self-attention network,apprentissage autoatttentif
5568,self-attention neural network,réseau de neurones autoattentif
5569,self-learning,auto-apprentissage
5570,self-loop,boucle auto-référentielle
5571,self-organizing map,carte auto-adaptative de Kohonen
5572,self-play,auto-jeu
5574,self-supervised method,méthode auto-supervisée
5575,self-supervised model,modèle auto-supervisé
5576,self-supervised representation learning,apprentissage de représentations auto-supervisé
5577,self-supervised signal,signal auto-supervisé
5578,self-supervised training,entraînement auto-supervisé
5579,self-supervision,auto-supervision
5580,self-training,auto-formation
5581,semantic alignment,alignement sémantique
5582,semantic analysis,analyse sémantique
5583,semantic annotation,annotation sémantique
5584,semantic category,catégorie sémantique
5585,semantic class,classe sémantique
5586,semantic constraint,contrainte sémantique
5587,semantic distance,distance sémantique
5588,semantic encoder,encodeur sémantique
5589,semantic equivalence,équivalence sémantique
5590,semantic feature,caractéristique sémantique
5591,semantic grammar,grammaire sémantique
5592,semantic graph,graphe sémantique
5593,semantic information,information sémantique
5594,semantic interpretation,interprétation sémantique
5595,semantic label,étiquette sémantique
5596,semantic memory,mémoire sémantique
5597,semantic model,modèle sémantique
5598,semantic network,réseau sémantique
5599,semantic object,objet sémantique
5600,semantic operator,opérateur sémantique
5601,semantic parse,analyse sémantique
5602,semantic parser,analyseur sémantique
5603,semantic priming,amorçage sémantique
5604,semantic query,requêtes sémantiques
5605,semantic reasoner,moteur de raisonnement
5606,semantic relation,relation sémantique
5607,semantic relation extraction,extraction de relations sémantiques
5608,semantic relation extraction algorithm,algorithme d'extraction de relations sémantiques
5609,semantic representation,représentation sémantique
5610,semantic role,rôle sémantique
5611,semantic role label,étiquette de rôle sémantique
5612,semantic search,recherche sémantique
5613,semantic segmentation,segmentation sémantique
5614,semantic similarity,similarité sémantique
5615,semantic similarity measure,mesure de similarité sémantique
5616,semantic space,espace sémantique
5617,semantic structure,structure sémantique
5618,semantic symbol,symbole sémantique
5619,semantic textual similarity,similarité textuelle sémantique
5620,semantic unit,unité sémantique
5621,semantic vector,vecteur sémantique
5622,semantic vector space,espace vectoriel sémantique
5624,semantically,sémantiquement
5625,semantics,sémantique
5626,semi-Markov,semi-Markov
5627,semi-definite programming,programmation semi-définie
5628,semi-interquartile range,amplitude semi-interquartile
5629,semi-structured data,données semi-structurées
5630,semi-supervised clustering,clustering semi-supervisé
5631,semi-supervised learning,apprentissage partiellement supervisé
5632,semi-supervision,semi-supervision
5633,semidefinite program,programme semi-défini
5634,semimartingale,semimartingale
5635,sense,sens
5636,sense disambiguation,désambiguïsation des sens
5637,sensitive attribute,attribut sensible
5638,sensitivity analysis,analyse de sensibilité
5639,sensor,capteur
5640,sensor fusion,fusion de données multisensorielles
5641,sentence,phrase
5642,sentence classification,classification de phrases
5643,sentence compression,compression de phrases
5644,sentence embedding,plongement de phrases
5645,sentence encoder,encodeur de phrases
5646,sentence representation,représentation de phrases
5647,sentence segmentation,segmentation de phrases
5648,sentence vector,vecteur de phrase
5649,sentence-level,au niveau de la phrase
5650,sentence-level classification,classification au niveau de la phrase
5651,sentence-level representation,représentation au niveau de la phrase
5652,sentences,phrases
5653,sentiment,émotionel
5654,sentiment analysis,analyse des opinions
5655,sentiment analysis model,modèle d'analyse de sentiment
5656,sentiment classification,classification du sentiment
5657,sentiment classifier,classificateur de sentiment
5658,sentiment detection,détection de sentiment
5659,sentiment polarity,polarité de sentiments
5660,sentiment transfer,transfert de sentiment
5661,separable convolution,convolution séparable
5662,separation logic,logique de séparation
5663,separation oracle,oracle de séparation
5664,separation parameter,paramètre de séparation
5665,separator token,jeton de séparation
5668,seq2seq model,modèle seq2seq
5669,sequence,séquence
5670,sequence alignment,alignement de séquences
5671,sequence classification,classification de séquences
5672,sequence database,base de données de séquences
5673,sequence generation,génération de séquences
5674,sequence labeling,étiquetage de séquences
5675,sequence labeling model,modèle d'étiquetage de séquences
5676,sequence length,longueur de séquence
5677,sequence model,modèle de séquence
5678,sequence prediction,prédiction de séquence
5679,sequence prediction tasks,tâches de prédiction des séquences
5680,sequence tagging,étiquetage de séquence
5681,sequence transduction,transduction de séquence
5682,sequence-to-sequence,modèle seq2seq
5683,sequence-to-sequence architecture,architecture séquence-à-séquence
5684,sequence-to-sequence generation,génération séquence-à-séquence
5685,sequence-to-sequence model,modèle séquence-à-séquence
5686,sequence-to-sequence transduction,transduction séquence-à-séquence
5687,sequences,séquences
5688,sequential datum,donnée séquentielle
5689,sequential decision making,prise de décision séquentielle
5690,sequential decision-making process,processus de prise de décision séquentielle
5691,sequential estimation,estimation séquentielle
5692,sequential pattern,motif séquentiel
5693,sequential pattern mining,fouille de motifs séquentiels
5694,sequential quadratic programming,optimisation quadratique successive
5695,sequential sampler,échantillonneur séquentiel
5696,sequential search,recherche par balayage
5697,sequential tagging,étiquetage séquentiel
5698,serverless,sans serveur
5699,set cover problem,problème de couverture d'ensemble
5700,set function,fonction d'ensemble
5701,shallow network,réseau peu profond
5702,shape matching,correspondance de formes
5703,shape prior,prior de forme
5704,shared,partagé
5705,shift invariant,invariant par translation
5706,shift reduce parser,analyseur à réduction de décalage
5707,shortest path,chemin le plus court
5708,shortest path algorithm,algorithme du plus court chemin
5709,shortest path kernel,noyau du plus court chemin
5710,shortest path length,longueur du plus court chemin
5711,sibling model,modèle de fratrie
5712,sigmoid,sigmoïde
5713,sigmoid activation,activation sigmoïde
5714,sigmoid activation function,fonction d'activation sigmoïde
5715,sigmoid function,fonction sigmoïde
5716,sigmoidal nonlinearity,non-linéarité sigmoïdale
5717,signal processing,traitement des signaux
5718,signal-to-noise ratio,rapport signal
5719,sim,sim
5720,similarity,similarité
5721,similarity function,fonction de similarité
5722,similarity graph,graphe de similarité
5723,similarity learning,apprentissage de similarités
5724,similarity matrix,matrice de similarité
5725,similarity measure,mesure de similarité
5726,similarity metric,métrique de similarité
5727,similarity score,score de similarité
5728,similarity search,recherche par similarité
5729,similarity-based learning,apprentissage par détection des similarités
5730,simple mean,moyenne simple
5731,simple random sampling,échantillonnage simple au hasard
5732,simplex algorithm,algorithme du simplexe
5733,simplicial complex,complexe simplicial
5734,simulated annealing,recuit simulé
5735,simulated reality,réalité simulée
5736,simulation analysis,analyse de simulation
5737,simultaneous,simultanée
5738,simultaneous localization and mapping,localisation et cartographie simultanées
5739,single sampling,échantillonnage à étape unique
5740,single task learning,apprentissage à tâche unique
5741,single-label classification,classification à étiquette unique
5742,single-layer perceptron,perceptron monocouche
5743,single-linkage clustering,regroupement hiérarchique par lien simple
5744,single-view data,données à vue unique
5745,singleton,singleton
5746,singular value,valeur singulière
5747,singular value decomposition,décomposition en valeurs singulières
5748,singular vector,vecteur singulier
5749,singularity,singularité
5750,situation calculus,calcul de situation
5751,skip connection,connexion résiduelle
5752,skip-gram,skip-gram
5753,skip-gram algorithm,algorithme de prédiction des grammes-voisins
5754,skip-gram model,modèle skip-gram
5755,skolemization,skolémisation
5756,slack variable,variable d'écart
5757,sliding window,fenêtre glissante
5758,sliding window classifier,classificateur à fenêtre glissante
