,English,Japanese
3868,query point,クエリポイント
3869,query processing,クエリ処理
3870,query reformulation,クエリ再構成
3871,query representation,クエリ表現
3872,query strategy,クエリ戦略
3873,query time,クエリ時間
3874,query vector,クエリベクトル
3875,query-document pair,クエリ-ドキュメントペア
3876,question,質問
3877,questions,質問
3878,radiance field,放射輝度場
3879,random crop,ランダムクロップ
3880,random feature,ランダム特徴
648,random forest,ランダムフォレスト
3881,random matrix theory,ランダム行列理論
3882,random policy,ランダムポリシー
3883,random projection,ランダム射影
3884,random projection algorithm,ランダム射影アルゴリズム
3885,random sampling,ランダムサンプリング
3886,random seed,ランダムシード
3887,random variable,ランダム変数
3888,random vector,ランダムベクトル
3889,random walk model,ランダムウォークモデル
3890,randomization,ランダム化
3891,randomized algorithm,ランダム化アルゴリズム
3892,randomized smoothing,ランダム化スムージング
3893,range query,範囲クエリ
650,rank,ランク
3894,rank-one update,ランク1更新
3895,ranking algorithm,ランキングアルゴリズム
3896,ranking function,ランキング関数
3897,ranking model,ランキングモデル
3898,re,RE
3899,reachable state,到達可能状態
3900,readout function,読み出し関数
3901,reasoning,推論
653,recall,再現率
3902,receptive field,受容野
3903,recognition,認識
3904,recognition model,認識モデル
3905,recommendation algorithm,推薦アルゴリズム
3906,recommendation model,推薦モデル
3907,recommendation system,推薦システム
3908,recommender,レコメンダー
3909,recommender system,レコメンダーシステム
3910,reconstruction algorithm,再構成アルゴリズム
3911,reconstruction error,再構成誤差
3912,reconstruction loss,再構成損失
3913,recovery algorithm,復元アルゴリズム
3914,rectified linear unit,整流線形ユニット
3915,rectified stereo pair,整流ステレオペア
3916,recurrent,再帰的
3917,recurrent architecture,再帰的アーキテクチャ
3918,recurrent autoencoder,再帰的オートエンコーダ
3919,recurrent connection,再帰接続
3920,recurrent dynamic,反復的な動的
3921,recurrent model,再帰モデル
3922,recurrent network,再帰ネットワーク
656,recurrent neural network,再帰型ニューラルネットワーク
3923,recurrent state,再帰状態
3924,recursion,再帰
3925,recursive call,再帰呼び出し
3926,recursive neural model,再帰ニューラルモデル
3927,recursive neural network,再帰ニューラルネットワーク
3928,reference distribution,参照分布
3929,reference resolution,参照解決
3930,reference text,参照テキスト
3931,reference-based metric,参照ベースのメトリック
3932,refinement network,リファインメントネットワーク
659,regression,回帰
3934,regression analysis,回帰分析
3935,regression coefficient,回帰係数
3936,regression function,回帰関数
3937,regression model,回帰モデル
3938,regression problem,回帰問題
3939,regression task,回帰タスク
3940,regression tree,回帰木
3941,regret bound,後悔境界
3942,regret matching,後悔マッチング
3943,regret minimization,後悔最小化
3944,regret minimization algorithm,後悔最小化アルゴリズム
3945,regret minimizer,後悔最小化器
3946,regular expression,正規表現
3947,regularisation,正則化
3948,regularization,正則化
3949,regularization constant,正則化定数
3950,regularization function,正則化関数
3951,regularization loss,正則化損失
3952,regularization parameter,正則化パラメータ
3953,regularization path,正則化パス
3954,regularization penalty,正則化ペナルティ
3955,regularization strength,正則化強度
3956,regularization term,正則化項
3957,regularization weight,正則化重み
3958,regularization-based method,正則化ベースの手法
3959,regularizer,正則化項
661,reinforcement learning,強化学習
3960,reinforcement learning algorithm,強化学習アルゴリズム
662,rejection sampling,棄却サンプリング
3961,relation,リレーション
3962,relation extraction,関係抽出
3963,relation type,関係タイプ
3964,relational tuple,関係タプル
3965,relations,relations
3966,relative entropy,相対エントロピー
3967,relative positional embedding,相対位置埋め込み
3968,relevance score,関連スコア
3969,rendering network,レンダリングネットワーク
3970,renormalization,再正規化
3971,reparameterization,再パラメータ化
3972,reparameterization trick,再パラメータ化トリック
3973,replay buffer,リプレイバッファ
3974,replay memory,リプレイメモリ
3975,representation,表現
3976,representation learning,表現学習
3977,representation matrix,表現行列
3978,representation space,表現空間
3979,representation vector,表現ベクトル
3980,representations,表現
3981,representer theorem,表現者定理
3982,reproducing kernel Hilbert space,再生核ヒルベルト空間
3983,reproducing property,再生特性
3984,reprojection,再投影
3985,reprojection error,再投影誤差
3986,reranker,リランキング
3987,reranking model,リランキングモデル
3988,reranking parser,リランキング・パーサー
3989,research,研究
3990,reservoir sampling,リザーバサンプリング
3991,residual block,残差ブロック
3992,residual branch,残差ブランチ
3993,residual connection,残差接続
3994,residual error,残差誤差
3995,residual function,残差関数
3996,residual graph,残差グラフ
3997,residual learning,残差学習
3998,residual network,残差ネットワーク
3999,resources,リソース
4000,restricted isometry property,制限等長性特性
4001,retrieval,検索
4002,retrieval function,検索関数
4003,retrieval method,検索手法
4004,retrieval model,検索モデル
4005,retrieval system,検索システム
4006,retrieved,回収された
4007,reverse-mode,逆モード
4008,reward,報酬
665,reward function,報酬関数
4009,reward model,報酬モデル
4010,reward shaping,報酬シェーピング
4011,reward signal,報酬信号
4012,reward-maximizing policy,報酬最大化ポリシー
667,ridge regression,リッジ回帰
4013,ridge regularization,リッジ正則化
4014,right-to-left model,右から左へのモデル
4015,rigid body transformation,剛体変換
4016,rigid transformation,剛体変換
4017,risk minimization,リスク最小化
4018,roberta-large,ロバータ・ラージ
4019,robotic,ロボティクス
4020,robust optimization,ロバスト最適化
4021,robust risk,ロバストリスク
4022,robustness,堅牢性
4023,role assertion,役割アサーション
4024,role atom,役割アトム
4025,role classification,役割分類
4026,role name,ロール名
4027,roll-out policy,ロールアウトポリシー
4028,rollout,ロールアウト
4029,rollout length,ロールアウト長
4030,root mean square error,二乗平均平方根誤差
4031,root node,ルートノード
4032,rotation angle,回転角
4033,rotation invariance,回転不変性
4034,rotation matrix,回転行列
4035,row vector,行ベクトル
4036,rule body,ルール本体
4037,runtime complexity,実行時複雑性
4038,saddle-point problem,サドルポイント問題
4039,saliency,顕著性
4040,saliency map,顕著性マップ
4041,sample complexity,サンプル複雑度
4042,sample complexity bound,サンプル複雑性境界
4043,sample covariance matrix,サンプル共分散行列
4044,sample efficiency,サンプル効率
4045,sample selection,サンプル選択
4046,sample space,標本空間
4047,sample variance,標本分散
4048,sample-efficient,標本効率的
4049,sampler,サンプラー
4050,sampling algorithm,サンプリングアルゴリズム
4051,sampling-based inference,サンプリングベースの推論
4052,satisfiability,充足可能性
4053,satisfiability problem,充足可能性問題
4054,scalability,スケーラビリティ
4055,scalar,スカラー
4056,scalar product,スカラー積
4057,scalarization,スカラー化
4058,scale invariance,スケール不変性
4059,scale parameter,スケールパラメータ
4060,scaled dot-product,スケーリングされたドット積
4061,scaled dot-product attention,スケールド・ドット・プロダクト・アテンション
4062,scaling factor,スケーリングファクター
4063,scanning window detector,スキャニングウィンドウ検出器
4064,scene category,シーンカテゴリ
4065,scene classification,シーン分類
4066,scene classifier,シーン分類器
4067,scene flow,シーンフロー
4068,scene flow estimation,シーンフロー推定
4069,scene geometry,シーンジオメトリ
4070,scene graph,シーングラフ
4071,scene parsing,シーン解析
4072,scene recognition,シーン認識
4073,scene reconstruction,シーン再構築
4074,scene representation,シーン表現
4075,scene understanding,シーン理解
4076,scheduled sampling,スケジュールサンプリング
4077,scheduler,スケジューラ
4078,schema item,スキーマ項目
4079,score function,スコア関数
4080,score matching,スコアマッチング
4081,score vector,スコアベクトル
4082,score-based model,スコアベースモデル
4083,scoring function,スコアリング関数
4084,search,検索
4085,search algorithm,検索アルゴリズム
4086,search problem,探索問題
4087,search procedure,探索手続き
4088,search space,探索空間
4089,search tree,探索木
4090,second order,セカンドオーダー
4091,second order statistic,二次統計量
4092,second-order optimization,二次最適化
4093,second-order potential,二次ポテンシャル
4094,segmentation,セグメンテーション
4095,segmentation algorithm,セグメンテーションアルゴリズム
4096,segmentation map,セグメンテーションマップ
4097,segmentation mask,セグメンテーションマスク
4098,selection bias,選択バイアス
4099,selectional preference,選択的選好
683,self-attention,自己注意機構
4100,self-attention head,セルフアテンションヘッド
4101,self-attention layer,セルフアテンション層
4102,self-attention matrix,セルフアテンション行列
4103,self-attention mechanism,自己注意機構
4104,self-attention model,セルフアテンションモデル
4105,self-attention module,セルフアテンションモジュール
4106,self-learning,自己学習
4107,self-loop,自己ループ
4108,self-play,自己対戦
4109,self-supervised method,自己教師あり手法
4110,self-supervised model,自己教師ありモデル
4111,self-supervised representation learning,自己教師あり表現学習
4112,self-supervised signal,自己教師あり信号
4113,self-supervised training,自己教師あり学習
4114,self-supervision,自己教師あり学習
4115,self-training,自己学習
4116,semantic alignment,セマンティックアライメント
4117,semantic analysis,セマンティック分析
4118,semantic annotation,セマンティックアノテーション
4119,semantic category,セマンティックカテゴリ
4120,semantic class,セマンティッククラス
4121,semantic constraint,意味的制約
4122,semantic distance,意味的距離
4123,semantic encoder,セマンティックエンコーダ
4124,semantic equivalence,意味的同等性
4125,semantic feature,意味的特徴
4126,semantic graph,セマンティックグラフ
4127,semantic information,セマンティック情報
4128,semantic interpretation,セマンティック解釈
4129,semantic label,セマンティックラベル
4130,semantic memory,セマンティックメモリ
4131,semantic model,セマンティックモデル
4132,semantic network,セマンティックネットワーク
4133,semantic object,セマンティックオブジェクト
4134,semantic operator,意味演算子
4135,semantic parse,セマンティック解析
4136,semantic parser,セマンティックパーサー
4137,semantic priming,セマンティックプライミング
4138,semantic relation,セマンティック関係
4139,semantic representation,セマンティック表現
4140,semantic role,セマンティックロール
4141,semantic role label,意味役割ラベル
4142,semantic search,セマンティック検索
4143,semantic segmentation,セマンティックセグメンテーション
4144,semantic similarity,意味的類似性
4145,semantic similarity measure,意味的類似度尺度
4146,semantic space,意味空間
4147,semantic structure,意味構造
4148,semantic symbol,意味記号
4149,semantic textual similarity,意味的テキスト類似性
4150,semantic unit,意味単位
4151,semantic vector,意味ベクトル
4152,semantic vector space,意味ベクトル空間
4153,semantically,意味論的に
4154,semantics,意味論
4155,semi-Markov,セミ・マルコフ
4156,semi-definite programming,半正定値計画法
4157,semi-supervised clustering,半教師ありクラスタリング
4158,semi-supervised learning,半教師あり学習
4159,semi-supervision,半教師あり
4160,semidefinite program,半正定値プログラム
4161,sense,感覚
4162,sense disambiguation,意味の曖昧さ解消
4163,sensitive attribute,センシティブ属性
4164,sensitivity analysis,感度分析
4165,sentence,文章
4166,sentence classification,文分類
4167,sentence compression,文圧縮
4168,sentence embedding,文埋め込み
4169,sentence encoder,文エンコーダー
4170,sentence representation,文表現
4171,sentence segmentation,文分割
4172,sentence vector,文ベクトル
4173,sentence-level,文レベル
4174,sentence-level classification,文レベル分類
4175,sentence-level representation,文レベル表現
4176,sentences,文章
4177,sentiment,感情
689,sentiment analysis,感情分析
4178,sentiment analysis model,感情分析モデル
4179,sentiment classification,感情分類
4180,sentiment classifier,感情分類器
4181,sentiment detection,感情検出
4182,sentiment transfer,感情転送
4183,separation oracle,分離オラクル
4184,separation parameter,分離パラメータ
4185,separator token,セパレータトークン
4188,seq2seq model,seq2seqモデル
4189,sequence,シーケンス
4190,sequence alignment,シーケンスアライメント
4191,sequence classification,シーケンス分類
4192,sequence database,シーケンスデータベース
4193,sequence generation,シーケンス生成
4194,sequence labeling,シーケンスラベリング
4195,sequence labeling model,シーケンスラベリングモデル
4196,sequence length,シーケンス長
4197,sequence model,シーケンスモデル
4198,sequence prediction,シーケンス予測
4199,sequence tagging,シーケンスタギング
4200,sequence transduction,シーケンストランスダクション
4201,sequence-to-sequence,シーケンス・ツー・シーケンス
4202,sequence-to-sequence architecture,シーケンス・ツー・シーケンスアーキテクチャ
4203,sequence-to-sequence generation,シーケンス・ツー・シーケンス生成
4204,sequence-to-sequence model,シーケンス・ツー・シーケンスモデル
4205,sequence-to-sequence transduction,シーケンス・ツー・シーケンストランスダクション
4206,sequences,シーケンス
4207,sequential datum,シーケンシャルデータ
4208,sequential decision making,逐次的意思決定
4209,sequential decision-making process,逐次意思決定プロセス
4210,sequential sampler,シーケンシャルサンプラー
4211,sequential tagging,シーケンシャルタグ付け
4212,set cover problem,集合被覆問題
4213,set function,集合関数
4214,shallow network,浅いネットワーク
4215,shape matching,形状マッチング
4216,shape prior,形状事前情報
4217,shared,共有
4218,shift invariant,シフト不変
4219,shift reduce parser,シフトリデュースパーサー
4220,shortest path,最短経路
4221,shortest path algorithm,最短経路アルゴリズム
4222,shortest path kernel,最短経路カーネル
4223,shortest path length,最短経路長
4224,sibling model,兄弟モデル
698,sigmoid,シグモイド
4225,sigmoid activation,シグモイド活性化
4226,sigmoid activation function,シグモイド活性化関数
699,sigmoid function,シグモイド関数
4227,signal-to-noise ratio,信号対雑音比
4228,sim,類似度
4229,similarity,類似性
4230,similarity function,類似度関数
4231,similarity graph,類似性グラフ
4232,similarity matrix,類似度行列
4233,similarity measure,類似度尺度
4234,similarity metric,類似性尺度
4235,similarity score,類似性スコア
4236,similarity search,類似検索
4237,simplicial complex,単体複体
4238,simulated annealing,シミュレーテッドアニーリング
4239,simultaneous,同時
4240,single task learning,単一タスク学習
4241,single-label classification,単一ラベル分類
4242,single-view data,単一ビューデータ
4243,singleton,シングルトン
4244,singular value,特異値
701,singular value decomposition,特異値分解
4245,singular vector,特異ベクトル
4246,skip connection,スキップ接続
4247,skip-gram,スキップグラム
4248,skip-gram model,スキップグラムモデル
4249,slack variable,スラック変数
4250,sliding window,スライディングウィンドウ
4251,sliding window classifier,スライディングウィンドウ分類器
4252,slot,スロット
4253,slot filling,スロット充填
4254,slot value,スロット値
4255,slot-value pair,スロット-値ペア
4256,smoothing parameter,スムージングパラメータ
4257,smoothness term,スムーズネス項
4258,social,社会的
4259,social bias,社会的バイアス
4260,social network analysis,ソーシャルネットワーク分析
4261,soft margin,ソフトマージン
4262,softmax,softmax
4263,softmax activation,ソフトマックス活性化
4264,softmax activation function,ソフトマックス活性化関数
4265,softmax classifier,ソフトマックス分類器
4266,softmax distribution,ソフトマックス分布
4267,softmax function,ソフトマックス関数
4268,softmax loss,ソフトマックス損失
4269,softplus,ソフトプラス
4270,softplus activation,ソフトプラス活性化
4271,softplus function,ソフトプラス関数
4272,solution space,解空間
4273,solver,ソルバー
4274,source,ソース
4275,source domain,ソースドメイン
4276,source model,ソースモデル
4277,source node,ソースノード
4278,source sequence,ソースシーケンス
4279,source token,ソーストークン
4280,source word,ソースワード
4281,space carving,スペースカービング
4282,space complexity,空間計算量
4283,space partitioning,空間分割
4284,spam detection,スパム検出
4285,spam filtering,スパムフィルタリング
4286,span,スパン
4287,spans,スパン
704,sparse,スパース
4288,sparse approximation,疎近似
4289,sparse attention,スパースアテンション
4290,sparse attention pattern,スパースアテンションパターン
4291,sparse graph,疎グラフ
4292,sparse matrix,疎行列
4293,sparse model,スパースモデル
4294,sparse recovery,スパースリカバリー
4295,sparse representation,スパース表現
4296,sparse sampling,スパースサンプリング
4297,sparse vector,スパースベクトル
4298,sparsification,スパース化
4299,sparsity,スパース性
4300,sparsity level,疎性レベル
4301,sparsity regularization,スパース性正則化
4302,spatial,空間的な
4303,spatial domain,空間領域
4304,spatial gradient,空間勾配
4305,spatial pooling,空間プーリング
4306,spatial pyramid,空間ピラミッド
4307,special token,特殊トークン
4308,spectral algorithm,スペクトルアルゴリズム
4309,spectral clustering,スペクトルクラスタリング
4310,spectral decomposition,スペクトル分解
4311,spectral embedding,スペクトル埋め込み
4312,spectral gap,スペクトルギャップ
4313,spectral learning,スペクトル学習
4314,spectral matching,スペクトルマッチング
4315,spectral method,スペクトル法
4316,spectral norm,スペクトルノルム
4317,spectral property,スペクトル特性
4318,spectrogram,スペクトログラム
4319,speech,スピーチ
4320,speech recognition,音声認識
4321,speech recognizer,音声認識器
4322,speech synthesis model,音声合成モデル
4323,speech synthesizer,音声合成器
4324,spoken,音声
4325,spoken dialogue system,音声対話システム
4326,spurious correlation,偽相関
4327,squared Euclidean distance,二乗ユークリッド距離
4328,squared error loss,二乗誤差損失
4329,stable model,安定モデル
4330,stable model semantic,安定モデル意味論
4331,stance detection,スタンス検出
4332,standard normal distribution,標準正規分布
4333,start token,開始トークン
4334,state,状態
4335,state action pair,状態-行動ペア
4336,state distribution,状態分布
4337,state estimation,状態推定
4338,state machine,状態機械
4339,state matrix,状態行列
4340,state of the art algorithm,最先端アルゴリズム
4341,state representation,状態表現
4342,state sequence,状態列
4343,state space,状態空間
4344,state trajectory,状態軌跡
4345,state transition,状態遷移
4346,state transition function,状態遷移関数
4347,state transition matrix,状態遷移行列
4348,state transition model,状態遷移モデル
4349,state transition probability,状態遷移確率
4350,state value function,状態価値関数
4351,state variable,状態変数
4352,state vector,状態ベクトル
4353,state-action distribution,状態-行動分布
4354,state-action space,状態-行動空間
4355,state-action value,状態-行動価値
4356,state-action value function,状態-行動価値関数
4357,state-of-the-art baseline,最先端のベースライン
4358,state-of-the-art method,最先端の手法
4359,state-of-the-art model,最先端のモデル
4360,state-of-the-art system,最先端のシステム
4361,static analysis,静的解析
4362,stationarity,定常性
4363,stationary distribution,定常分布
4364,stationary kernel,定常カーネル
4365,stationary policy,定常方策
4366,statistical,統計的
4367,statistical analysis,統計分析
4368,statistical independence,統計的独立性
4369,statistical learning,統計学習
4370,statistical learning algorithm,統計的学習アルゴリズム
4371,statistical learning theory,統計的学習理論
4372,statistical machine translation system,統計的機械翻訳システム
4373,statistical measure,統計的尺度
4374,statistical model,統計モデル
4375,statistical translation model,統計的翻訳モデル
4376,steepest descent,最急降下法
4377,steerable filter,ステアラブルフィルタ
4378,stemmer,ステミング器
4379,stereo algorithm,ステレオアルゴリズム
4380,stereo benchmark,ステレオベンチマーク
4381,stereo disparity,ステレオ視差
4382,stereo image,ステレオ画像
4383,stereo matching,ステレオマッチング
4384,stereo pair,ステレオペア
4385,stereo reconstruction,ステレオ再構成
4386,stereo vision,立体視
4387,stochastic algorithm,確率的アルゴリズム
4388,stochastic approximation,確率的近似
4389,stochastic depth,確率的深さ
4390,stochastic differential equation,確率微分方程式
4391,stochastic dynamic,確率的動力学
4392,stochastic environment,確率的環境
4393,stochastic game,確率ゲーム
4394,stochastic gradient,確率勾配
4395,stochastic gradient algorithm,確率的勾配アルゴリズム
4396,stochastic gradient ascent,確率的勾配上昇法
722,stochastic gradient descent,確率的勾配降下法
4397,stochastic gradient method,確率的勾配法
4398,stochastic grammar,確率文法
4399,stochastic matrix,確率行列
4400,stochastic model,確率モデル
4401,stochastic objective,確率的目的関数
4402,stochastic optimization,確率的最適化
4403,stochastic policy,確率的ポリシー
4404,stochastic process,確率過程
4405,stochastic sampling,確率的サンプリング
4406,stochastic search algorithm,確率的探索アルゴリズム
4407,stochastic subgradient descent,確率的サブグラディエント降下法
4408,stochastic transition matrix,確率的遷移行列
4409,stochastic variational inference,確率的変分推論
4410,stochasticity,確率性
4411,stop word,ストップワード
4412,stop-gradient,ストップグラディエント
4413,stop-gradient operation,ストップグラディエント操作
4414,stopping condition,停止条件
4415,stopping criterion,停止基準
4416,stratified sampling,層化サンプリング
4417,streaming algorithm,ストリーミングアルゴリズム
4418,streaming datum,ストリーミングデータ
4419,streaming model,ストリーミングモデル
4420,stride,ストライド
4421,string kernel metric,文字列カーネル計量
4422,structural learning,構造学習
4423,structural risk minimization,構造リスク最小化
4424,structure,構成
4425,structure learning,構造学習
4426,structured,構築された
4427,structured datum,構造化データ
4428,structured output,構造化出力
4429,structured perceptron,構造化パーセプトロン
4430,structured prediction,構造化予測
4431,structured prediction model,構造化予測モデル
4432,structured prediction problem,構造化予測問題
4433,structured support vector machine,構造化サポートベクターマシン
4434,student model,学生モデル
4435,style transfer,スタイル転送
4436,sub-gradient,サブグラディエント
4437,sub-gradient descent,サブグラディエント降下法
4438,sub-networks,サブネットワーク
4439,sub-population,サブポピュレーション
4440,sub-word,サブワード
4441,sub-word tokenization,サブワードトークナイゼーション
4442,subgame,サブゲーム
4443,subgradient method,サブグラディエント法
4444,subgraph isomorphism,部分グラフ同型性
4445,subgraph selection,サブグラフ選択
4446,submatrice,部分行列
4447,submatrix,サブマトリックス
4448,submodular,サブモジュラー
4449,submodular function,サブモジュラー関数
4450,submodular function optimization,サブモジュラー関数最適化
4451,submodular influence function,劣モジュラ影響関数
4452,submodular optimization,劣モジュラー最適化
4453,submodular polyhedron,劣モジュラ多面体
4454,submodular set function,劣モジュラ集合関数
4455,subnetwork,サブネットワーク
4456,suboptimal,最適でない
4457,subpixel,サブピクセル
4458,subsample,サブサンプル
4459,subsampling factor,サブサンプリング係数
4460,subspace learning,サブスペース学習
4461,subspace method,サブスペース法
4462,subspace projection,部分空間射影
4463,substitution,置換
4464,subsumption,包含関係
4465,subsumption relation,包摂関係
4466,subtree,部分木
4467,subwindow,サブウィンドウ
4468,subword,サブ単語
4469,subword token,サブワードトークン
4470,subword unit,サブワード単位
4471,successor function,後継関数
4472,successor state,後継状態
4473,successor state axiom,後継状態公理
4474,sufficient statistic,十分統計量
4475,suffix tree,サフィックスツリー
4476,summarization,要約
4477,summarization algorithm,要約アルゴリズム
4478,summarization model,要約モデル
4479,summarization system,要約システム
4480,summarizing,要約
4481,super-pixel,スーパーピクセル
4482,super-resolution,超解像
4483,supergradient,スーパー勾配
4484,supertag,スーパータグ
4485,supervised classification,教師あり分類
4486,supervised classification model,教師あり分類モデル
4487,supervised classifier,教師あり分類器
4488,supervised contrastive learning,教師あり対照学習
4489,supervised datum,教師ありデータ
4490,supervised finetuning,教師ありファインチューニング
4491,supervised learning,教師あり学習
4492,supervised manner,教師ありの方法
4493,supervised method,教師あり手法
4494,supervised model,教師ありモデル
4495,supervised multi-task learning,教師ありマルチタスク学習
4496,supervised setting,教師あり設定
4497,supervised system,教師ありシステム
4498,supervised training,教師あり学習
4499,support,サポート
4500,support set,サポートセット
4501,support threshold,サポート閾値
4502,support vector,サポートベクトル
727,support vector machine,サポートベクターマシン
4503,surface normal,表面法線
4504,surface normal estimator,表面法線推定器
4505,surface normal prediction,表面法線予測
4506,surface realization,表面実現
4507,surrogate,代理変数
4508,surrogate function,代理関数
4509,surrogate loss,代理損失
4510,surrogate loss function,代理損失関数
4511,surrogate model,代理モデル
4512,symbol grounding problem,シンボルグラウンディング問題
4513,symbolic representation,シンボリック表現
4514,symmetric matrix,対称行列
4515,symmetric positive semidefinite matrix,対称正半定値行列
4516,symmetrization,対称化
4517,synchronous context-free grammar,同期文脈自由文法
4518,synonymy,同義性
4519,synset,同義語集合
4520,syntactic,構文
4521,syntactic analysis,構文解析
4522,syntactic category,統語範疇
4523,syntactic constraint,構文制約
4524,syntactic dependency,構文依存
4525,syntactic dependency parsing,構文依存解析
4526,syntactic dependency tree,構文依存木
4527,syntactic feature,統語的特徴
4528,syntactic information,構文情報
4529,syntactic parse,構文解析
4530,syntactic parser,構文解析器
4531,syntactic regularity,構文的規則性
4532,syntactic representation,構文表現
4533,syntactic similarity,構文的類似性
4534,syntactic structure,構文構造
4535,syntactic tree,構文木
4536,syntax,構文
4537,syntax tree,構文木
4538,synthetic dataset,合成データセット
4539,system,システム
4540,system identification,システム同定
4541,systems,システム
4542,t-test,t検定
4543,tag recommendation,タグ推薦
4544,tag sequence,タグシーケンス
4545,tagger,タガー
4546,tagging,タグ付け
4547,tagset,タグセット
4548,tail entity,テールエンティティ
4549,tangent space,接線空間
4550,tanh activation function,tanh活性化関数
4551,target,ターゲット
4552,target classifier,ターゲット分類器
4553,target distribution,ターゲット分布
4554,target domain,ターゲットドメイン
4555,target function,ターゲット関数
4556,target instance,ターゲットインスタンス
4557,target model,ターゲットモデル
4558,target network,ターゲットネットワーク
4559,target node,ターゲットノード
4560,target policy,ターゲットポリシー
4561,target sentence,ターゲット文
4562,target sequence,ターゲットシーケンス
4563,target task,ターゲットタスク
4564,target token,ターゲットトークン
4565,target variable,ターゲット変数
4566,target vector,ターゲットベクトル
4567,target vocabulary,ターゲット語彙
4568,target word,ターゲット単語
4569,target-to-source model,ターゲットからソースへのモデル
4570,task,タスク
4571,task adaptation,タスク適応
4572,task model,タスクモデル
4573,task-oriented dialog system,タスク指向対話システム
4574,task-oriented dialogue system,タスク指向ダイアログシステム
4575,task-specific model,タスク特化モデル
4576,tasks,タスク
4577,taxonomy,タクソノミー
4578,teacher forcing,教師強制
4579,teacher network,教師ネットワーク
4580,temperature parameter,温度パラメータ
4581,temperature scaling,温度スケーリング
4582,template,テンプレート
4583,template model,テンプレートモデル
4584,template-matching,テンプレートマッチング
4585,temporal derivative,時間微分
4586,temporal difference,時間差
4587,temporal difference learning,時間差学習
4588,temporal drift,時間的ドリフト
4589,temporal fusion,時間的融合
4590,temporal locality,時間的局所性
4591,temporal logic,時間論理
4592,temporal reasoning,時間推論
4593,temporal variable,時間変数
738,tensor,テンソル
4594,tensor decomposition,テンソル分解
4595,tensor factorization,テンソル因子分解
4596,tensor field,テンソル場
4597,tensor product,テンソル積
4598,term frequency,用語頻度
4599,terminal node,終端ノード
4600,terminal state,終端状態
4601,termination condition,終了条件
4602,termination criterion,終了基準
4603,terminology,用語
4604,test accuracy,テスト精度
4605,test dataset,テストデータセット
4606,test datum,テストデータ
4607,test domain,テストドメイン
4608,test error,テスト誤差
4609,test loss,テスト損失
4610,test set,テストセット
4611,test split,テスト分割
4612,test time,テスト時
4613,testing set,テストセット
4614,text,テキスト
4615,text categorization,テキスト分類
4616,text corpus,テキストコーパス
4617,text embedding,テキスト埋め込み
4618,text encoder,テキストエンコーダ
4619,text generation,テキスト生成
4620,text generation model,テキスト生成モデル
4621,text mining,テキストマイニング
4622,text segmentation,テキストセグメンテーション
4623,text simplification,テキスト簡略化
4624,text-davinci-002,テキスト-ダヴィンチ-002
4625,text-davinci-003,テキスト-ダヴィンチ-003
4626,text-to-image diffusion model,テキストから画像への拡散モデル
4627,text-to-image generation,テキストから画像生成
4628,text-to-image model,テキストから画像モデル
4629,text-to-image synthesis,テキストから画像合成
4630,texts,テキスト
4631,textual entailment,テキスト含意
4632,tf-idf,tf-idf
4633,threat model,脅威モデル
4634,threshold,閾値
4635,threshold function,閾値関数
4636,threshold parameter,閾値パラメータ
4637,threshold policy,閾値ポリシー
4638,time complexity,時間計算量
4639,time series,時系列
4640,time series analysis,時系列分析
4641,time series forecasting,時系列予測
4642,time step,時間ステップ
4643,time-series datum,時系列データ
4644,time-series model,時系列モデル
4645,time/space complexity,時間/空間計算量
745,token,トークン
4647,token classification,トークン分類
4648,token embedding,トークン埋め込み
4649,token frequency,トークン頻度
4650,token length,トークン長
4651,token representation,トークン表現
4652,token sequence,トークン列
4653,token space,トークンスペース
4654,token vector,トークンベクトル
4655,token vocabulary,トークン語彙
4656,token-level,トークンレベル
4657,token-level attention,トークンレベルのアテンション
4658,token-level feature,トークンレベルの特徴
4659,tokenisation,トークン化
4660,tokenization,トークン化
4661,tokenization scheme,トークン化スキーム
4662,tokenizer,トークナイザー
4663,tokens,トークン
4664,top-1 accuracy,トップ1精度
4665,top-down segmentation,トップダウンセグメンテーション
4666,top-k,トップ-k
4667,top-k sampling,トップkサンプリング
4668,top-p sampling,トップ-p サンプリング
4669,topic assignment,トピック割り当て
4670,topic classification,トピック分類
4671,topic distribution,トピック分布
4672,topic model,トピックモデル
4673,topic proportion,トピック比率
4674,topic weight,トピック重み
4675,total variation,全変動
4676,total variation distance,全変動距離
4677,toxicity detection,毒性検出
4678,trace norm,トレースノルム
4679,tracking algorithm,トラッキングアルゴリズム
4680,train,学習
4681,train / test / dev split,訓練/テスト/検証分割
4682,train set,学習セット
4683,train-test split,訓練・テスト分割
4684,train/test,学習/テスト
4685,trainable parameter,学習可能なパラメータ
4686,trainable weight,学習可能な重み
4687,training,訓練
4688,training accuracy,学習精度
4689,training algorithm,学習アルゴリズム
4690,training batch,トレーニングバッチ
4691,training corpora,トレーニングコーパス
4692,training corpus,トレーニングコーパス
4693,training dataset,トレーニングデータセット
4694,training datum,トレーニングデータ
4695,training distribution,学習分布
4696,training dynamic,学習ダイナミクス
4697,training epoch,トレーニングエポック
4698,training error,訓練誤差
4699,training example,トレーニング例
4700,training loss,訓練損失
4701,training objective,トレーニング目標
4702,training phase,トレーニングフェーズ
4703,training procedure,トレーニング手順
4704,training process,トレーニングプロセス
